Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_alloperationspersecond_average;azure_alloperationspersecond_count;azure_alloperationspersecond_maximum;azure_alloperationspersecond_minimum;azure_alloperationspersecond_total,"The number of instantaneous operations per second executed on the cache. For more details, see https://aka.ms/redis/metrics.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allcachehits_average;azure_allcachehits_count;azure_allcachehits_maximum;azure_allcachehits_minimum;azure_allcachehits_total,"The number of successful key lookups. For more details, see https://aka.ms/redis/metrics.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,total
azure_allcachemisses_average;azure_allcachemisses_count;azure_allcachemisses_maximum;azure_allcachemisses_minimum;azure_allcachemisses_total,"The number of failed key lookups. For more details, see https://aka.ms/redis/metrics.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,total
azure_allusedmemorypercentage_average;azure_allusedmemorypercentage_count;azure_allusedmemorypercentage_maximum;azure_allusedmemorypercentage_minimum;azure_allusedmemorypercentage_total,"The percentage of cache memory used for key/value pairs. For more details, see https://aka.ms/redis/metrics.",Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allpercentprocessortime_average;azure_allpercentprocessortime_count;azure_allpercentprocessortime_maximum;azure_allpercentprocessortime_minimum;azure_allpercentprocessortime_total,"The CPU utilization of the Azure Redis Cache server as a percentage. For more details, see https://aka.ms/redis/metrics.",Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allserverload_average;azure_allserverload_count;azure_allserverload_maximum;azure_allserverload_minimum;azure_allserverload_total,"The percentage of cycles in which the Redis server is busy processing and not waiting idle for messages. For more details, see https://aka.ms/redis/metrics.",Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allcacheread_average;azure_allcacheread_count;azure_allcacheread_maximum;azure_allcacheread_minimum;azure_allcacheread_total,"The amount of data read from the cache in bytes per second. For more details, see https://aka.ms/redis/metrics.",BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allcachewrite_average;azure_allcachewrite_count;azure_allcachewrite_maximum;azure_allcachewrite_minimum;azure_allcachewrite_total,"The amount of data written to the cache in bytes per second. For more details, see https://aka.ms/redis/metrics.",BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,maximum
azure_allevictedkeys_average;azure_allevictedkeys_count;azure_allevictedkeys_maximum;azure_allevictedkeys_minimum;azure_allevictedkeys_total,"The number of items evicted from the cache. For more details, see https://aka.ms/redis/metrics.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,total
azure_allexpiredkeys_average;azure_allexpiredkeys_count;azure_allexpiredkeys_maximum;azure_allexpiredkeys_minimum;azure_allexpiredkeys_total,"The number of items expired from the cache. For more details, see https://aka.ms/redis/metrics.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_shardid;metadata_port;metadata_primary,total
