Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_successrate_average;azure_successrate_count;azure_successrate_maximum;azure_successrate_minimum;azure_successrate_total,Availability percentage with the following calculation: (Total Calls - Server Errors)/Total Calls. Server Errors include any HTTP responses >=500.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,average
azure_characterstrained_average;azure_characterstrained_count;azure_characterstrained_maximum;azure_characterstrained_minimum;azure_characterstrained_total,Total number of characters trained.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_faceimagestrained_average;azure_faceimagestrained_count;azure_faceimagestrained_maximum;azure_faceimagestrained_minimum;azure_faceimagestrained_total,"Number of images trained. 1,000 images trained per transaction.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_texttrainedcharacters_average;azure_texttrainedcharacters_count;azure_texttrainedcharacters_maximum;azure_texttrainedcharacters_minimum;azure_texttrainedcharacters_total,Number of characters trained using text translation.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_datain_average;azure_datain_count;azure_datain_maximum;azure_datain_minimum;azure_datain_total,Size of incoming data in bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_dataout_average;azure_dataout_count;azure_dataout_maximum;azure_dataout_minimum;azure_dataout_total,Size of outgoing data in bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_servererrors_average;azure_servererrors_count;azure_servererrors_maximum;azure_servererrors_minimum;azure_servererrors_total,Number of calls with service internal error (HTTP response code 5xx).,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_latency_average;azure_latency_count;azure_latency_maximum;azure_latency_minimum;azure_latency_total,Latency in milliseconds.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,average
azure_clienterrors_average;azure_clienterrors_count;azure_clienterrors_maximum;azure_clienterrors_minimum;azure_clienterrors_total,Number of calls with client side error (HTTP response code 4xx).,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_computervisiontransactions_average;azure_computervisiontransactions_count;azure_computervisiontransactions_maximum;azure_computervisiontransactions_minimum;azure_computervisiontransactions_total,Number of Computer Vision Transactions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
