Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cleanercurrentprice_average;azure_cleanercurrentprice_count;azure_cleanercurrentprice_maximum;azure_cleanercurrentprice_minimum;azure_cleanercurrentprice_total,"Current price of memory, $/byte/time, normalized to 1000.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_cleanermemorynonshrinkable_average;azure_cleanermemorynonshrinkable_count;azure_cleanermemorynonshrinkable_maximum;azure_cleanermemorynonshrinkable_minimum;azure_cleanermemorynonshrinkable_total,"Amount of memory, in bytes, not subject to purging by the background cleaner.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_cleanermemoryshrinkable_average;azure_cleanermemoryshrinkable_count;azure_cleanermemoryshrinkable_maximum;azure_cleanermemoryshrinkable_minimum;azure_cleanermemoryshrinkable_total,"Amount of memory, in bytes, subject to purging by the background cleaner.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_commandpoolbusythreads_average;azure_commandpoolbusythreads_count;azure_commandpoolbusythreads_maximum;azure_commandpoolbusythreads_minimum;azure_commandpoolbusythreads_total,Number of busy threads in the command thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_commandpoolidlethreads_average;azure_commandpoolidlethreads_count;azure_commandpoolidlethreads_maximum;azure_commandpoolidlethreads_minimum;azure_commandpoolidlethreads_total,Number of idle threads in the command thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_commandpooljobqueuelength_average;azure_commandpooljobqueuelength_count;azure_commandpooljobqueuelength_maximum;azure_commandpooljobqueuelength_minimum;azure_commandpooljobqueuelength_total,Number of jobs in the queue of the command thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_currentconnections_average;azure_currentconnections_count;azure_currentconnections_maximum;azure_currentconnections_minimum;azure_currentconnections_total,Current number of client connections established.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_currentusersessions_average;azure_currentusersessions_count;azure_currentusersessions_maximum;azure_currentusersessions_minimum;azure_currentusersessions_total,Current number of user sessions established.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_longparsingbusythreads_average;azure_longparsingbusythreads_count;azure_longparsingbusythreads_maximum;azure_longparsingbusythreads_minimum;azure_longparsingbusythreads_total,Number of busy threads in the long parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_longparsingidlethreads_average;azure_longparsingidlethreads_count;azure_longparsingidlethreads_maximum;azure_longparsingidlethreads_minimum;azure_longparsingidlethreads_total,Number of idle threads in the long parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_longparsingjobqueuelength_average;azure_longparsingjobqueuelength_count;azure_longparsingjobqueuelength_maximum;azure_longparsingjobqueuelength_minimum;azure_longparsingjobqueuelength_total,Number of jobs in the queue of the long parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_mashup_engine_memory_metric_average;azure_mashup_engine_memory_metric_count;azure_mashup_engine_memory_metric_maximum;azure_mashup_engine_memory_metric_minimum;azure_mashup_engine_memory_metric_total,Memory usage by mashup engine processes,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_mashup_engine_private_bytes_metric_average;azure_mashup_engine_private_bytes_metric_count;azure_mashup_engine_private_bytes_metric_maximum;azure_mashup_engine_private_bytes_metric_minimum;azure_mashup_engine_private_bytes_metric_total,Private bytes usage by mashup engine processes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_mashup_engine_qpu_metric_average;azure_mashup_engine_qpu_metric_count;azure_mashup_engine_qpu_metric_maximum;azure_mashup_engine_qpu_metric_minimum;azure_mashup_engine_qpu_metric_total,QPU usage by mashup engine processes,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
