azure_backendduration_average;azure_backendduration_count;azure_backendduration_maximum;azure_backendduration_minimum;azure_backendduration_total,Gauge,MilliSeconds,Duration of Backend Requests in milliseconds,
azure_capacity_average;azure_capacity_count;azure_capacity_maximum;azure_capacity_minimum;azure_capacity_total,Gauge,Percent,"Utilization metric for ApiManagement service. Note: For skus other than Premium, 'Max' aggregation will show the value as 0.",
azure_connectionattempts_average;azure_connectionattempts_count;azure_connectionattempts_maximum;azure_connectionattempts_minimum;azure_connectionattempts_total,Gauge,Count,Count of WebSocket connection attempts based on selected source and destination,
azure_duration_average;azure_duration_count;azure_duration_maximum;azure_duration_minimum;azure_duration_total,Gauge,MilliSeconds,Overall Duration of Gateway Requests in milliseconds,
azure_eventhubdroppedevents_average;azure_eventhubdroppedevents_count;azure_eventhubdroppedevents_maximum;azure_eventhubdroppedevents_minimum;azure_eventhubdroppedevents_total,Gauge,Count,Number of events skipped because of queue size limit reached,
azure_eventhubrejectedevents_average;azure_eventhubrejectedevents_count;azure_eventhubrejectedevents_maximum;azure_eventhubrejectedevents_minimum;azure_eventhubrejectedevents_total,Gauge,Count,Number of rejected EventHub events (wrong configuration or unauthorized),
azure_eventhubsuccessfulevents_average;azure_eventhubsuccessfulevents_count;azure_eventhubsuccessfulevents_maximum;azure_eventhubsuccessfulevents_minimum;azure_eventhubsuccessfulevents_total,Gauge,Count,Number of successful EventHub events,
azure_eventhubthrottledevents_average;azure_eventhubthrottledevents_count;azure_eventhubthrottledevents_maximum;azure_eventhubthrottledevents_minimum;azure_eventhubthrottledevents_total,Gauge,Count,Number of throttled EventHub events,
azure_eventhubtimedoutevents_average;azure_eventhubtimedoutevents_count;azure_eventhubtimedoutevents_maximum;azure_eventhubtimedoutevents_minimum;azure_eventhubtimedoutevents_total,Gauge,Count,Number of timed out EventHub events,
azure_eventhubtotalbytessent_average;azure_eventhubtotalbytessent_count;azure_eventhubtotalbytessent_maximum;azure_eventhubtotalbytessent_minimum;azure_eventhubtotalbytessent_total,Gauge,Bytes,Total size of EventHub events in bytes,
azure_eventhubtotalevents_average;azure_eventhubtotalevents_count;azure_eventhubtotalevents_maximum;azure_eventhubtotalevents_minimum;azure_eventhubtotalevents_total,Gauge,Count,Number of events sent to EventHub,
azure_eventhubtotalfailedevents_average;azure_eventhubtotalfailedevents_count;azure_eventhubtotalfailedevents_maximum;azure_eventhubtotalfailedevents_minimum;azure_eventhubtotalfailedevents_total,Gauge,Count,Number of failed EventHub events,
azure_failedrequests_average;azure_failedrequests_count;azure_failedrequests_maximum;azure_failedrequests_minimum;azure_failedrequests_total,Gauge,Count,Number of failures in gateway requests - Use multi-dimension request metric with GatewayResponseCodeCategory dimension instead,
azure_networkconnectivity_average;azure_networkconnectivity_count;azure_networkconnectivity_maximum;azure_networkconnectivity_minimum;azure_networkconnectivity_total,Gauge,Count,Network Connectivity status of dependent resource types from API Management service,
azure_otherrequests_average;azure_otherrequests_count;azure_otherrequests_maximum;azure_otherrequests_minimum;azure_otherrequests_total,Gauge,Count,Number of other gateway requests - Use multi-dimension request metric with GatewayResponseCodeCategory dimension instead,
azure_requests_average;azure_requests_count;azure_requests_maximum;azure_requests_minimum;azure_requests_total,Gauge,Count,Gateway request metrics with multiple dimensions,
azure_successfulrequests_average;azure_successfulrequests_count;azure_successfulrequests_maximum;azure_successfulrequests_minimum;azure_successfulrequests_total,Gauge,Count,Number of successful gateway requests - Use multi-dimension request metric with GatewayResponseCodeCategory dimension instead,
azure_totalrequests_average;azure_totalrequests_count;azure_totalrequests_maximum;azure_totalrequests_minimum;azure_totalrequests_total,Gauge,Count,Number of gateway requests - Use multi-dimension request metric with GatewayResponseCodeCategory dimension instead,
azure_unauthorizedrequests_average;azure_unauthorizedrequests_count;azure_unauthorizedrequests_maximum;azure_unauthorizedrequests_minimum;azure_unauthorizedrequests_total,Gauge,Count,Number of unauthorized gateway requests - Use multi-dimension request metric with GatewayResponseCodeCategory dimension instead,
azure_websocketmessages_average;azure_websocketmessages_count;azure_websocketmessages_maximum;azure_websocketmessages_minimum;azure_websocketmessages_total,Gauge,Count,Count of WebSocket messages based on selected source and destination,
