azure_active-timer-count_average;azure_active-timer-count_count;azure_active-timer-count_maximum;azure_active-timer-count_minimum;azure_active-timer-count_total,Gauge,Count,Number of timers that are currently active,
azure_alloc-rate_average;azure_alloc-rate_count;azure_alloc-rate_maximum;azure_alloc-rate_minimum;azure_alloc-rate_total,Gauge,Bytes,Number of bytes allocated in the managed heap,
azure_appcpuusage_average;azure_appcpuusage_count;azure_appcpuusage_maximum;azure_appcpuusage_minimum;azure_appcpuusage_total,Gauge,Percent,"The recent CPU usage for the app. This metric is being deprecated. Please use ""App CPU Usage"" with metric id ""PodCpuUsage"".",
azure_assembly-count_average;azure_assembly-count_count;azure_assembly-count_maximum;azure_assembly-count_minimum;azure_assembly-count_total,Gauge,Count,Number of Assemblies Loaded,
azure_cpu-usage_average;azure_cpu-usage_count;azure_cpu-usage_maximum;azure_cpu-usage_minimum;azure_cpu-usage_total,Gauge,Percent,% time the process has utilized the CPU,
azure_current-requests_average;azure_current-requests_count;azure_current-requests_maximum;azure_current-requests_minimum;azure_current-requests_total,Gauge,Count,Total number of requests in processing in the lifetime of the process,
azure_exception-count_average;azure_exception-count_count;azure_exception-count_maximum;azure_exception-count_minimum;azure_exception-count_total,Gauge,Count,Number of Exceptions,
azure_failed-requests_average;azure_failed-requests_count;azure_failed-requests_maximum;azure_failed-requests_minimum;azure_failed-requests_total,Gauge,Count,Total number of failed requests in the lifetime of the process,
azure_gatewayhttpserverrequestsmillisecondsmax_average;azure_gatewayhttpserverrequestsmillisecondsmax_count;azure_gatewayhttpserverrequestsmillisecondsmax_maximum;azure_gatewayhttpserverrequestsmillisecondsmax_minimum;azure_gatewayhttpserverrequestsmillisecondsmax_total,Gauge,Milliseconds,The max time of requests,
azure_gatewayhttpserverrequestsmillisecondssum_average;azure_gatewayhttpserverrequestsmillisecondssum_count;azure_gatewayhttpserverrequestsmillisecondssum_maximum;azure_gatewayhttpserverrequestsmillisecondssum_minimum;azure_gatewayhttpserverrequestsmillisecondssum_total,Gauge,Milliseconds,The total time of requests,
azure_gatewayhttpserverrequestssecondscount_average;azure_gatewayhttpserverrequestssecondscount_count;azure_gatewayhttpserverrequestssecondscount_maximum;azure_gatewayhttpserverrequestssecondscount_minimum;azure_gatewayhttpserverrequestssecondscount_total,Gauge,Count,The number of requests,
azure_gatewayjvmgclivedatasizebytes_average;azure_gatewayjvmgclivedatasizebytes_count;azure_gatewayjvmgclivedatasizebytes_maximum;azure_gatewayjvmgclivedatasizebytes_minimum;azure_gatewayjvmgclivedatasizebytes_total,Gauge,Bytes,Size of old generation memory pool after a full GC,
azure_gatewayjvmgcmaxdatasizebytes_average;azure_gatewayjvmgcmaxdatasizebytes_count;azure_gatewayjvmgcmaxdatasizebytes_maximum;azure_gatewayjvmgcmaxdatasizebytes_minimum;azure_gatewayjvmgcmaxdatasizebytes_total,Gauge,Bytes,Max size of old generation memory pool,
azure_gatewayjvmgcmemoryallocatedbytestotal_average;azure_gatewayjvmgcmemoryallocatedbytestotal_count;azure_gatewayjvmgcmemoryallocatedbytestotal_maximum;azure_gatewayjvmgcmemoryallocatedbytestotal_minimum;azure_gatewayjvmgcmemoryallocatedbytestotal_total,Gauge,Bytes,Incremented for an increase in the size of the young generation memory pool after one GC to before the next,
azure_gatewayjvmgcmemorypromotedbytestotal_average;azure_gatewayjvmgcmemorypromotedbytestotal_count;azure_gatewayjvmgcmemorypromotedbytestotal_maximum;azure_gatewayjvmgcmemorypromotedbytestotal_minimum;azure_gatewayjvmgcmemorypromotedbytestotal_total,Gauge,Bytes,Count of positive increases in the size of the old generation memory pool before GC to after GC,
