Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_corecount_average;azure_corecount_count;azure_corecount_maximum;azure_corecount_minimum;azure_corecount_total,Total number of dedicated cores in the batch account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_creatingnodecount_average;azure_creatingnodecount_count;azure_creatingnodecount_maximum;azure_creatingnodecount_minimum;azure_creatingnodecount_total,Number of nodes being created,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_idlenodecount_average;azure_idlenodecount_count;azure_idlenodecount_maximum;azure_idlenodecount_minimum;azure_idlenodecount_total,Number of idle nodes,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_jobdeletecompleteevent_average;azure_jobdeletecompleteevent_count;azure_jobdeletecompleteevent_maximum;azure_jobdeletecompleteevent_minimum;azure_jobdeletecompleteevent_total,Total number of jobs that have been successfully deleted.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobdeletestartevent_average;azure_jobdeletestartevent_count;azure_jobdeletestartevent_maximum;azure_jobdeletestartevent_minimum;azure_jobdeletestartevent_total,Total number of jobs that have been requested to be deleted.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobdisablecompleteevent_average;azure_jobdisablecompleteevent_count;azure_jobdisablecompleteevent_maximum;azure_jobdisablecompleteevent_minimum;azure_jobdisablecompleteevent_total,Total number of jobs that have been successfully disabled.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobdisablestartevent_average;azure_jobdisablestartevent_count;azure_jobdisablestartevent_maximum;azure_jobdisablestartevent_minimum;azure_jobdisablestartevent_total,Total number of jobs that have been requested to be disabled.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobstartevent_average;azure_jobstartevent_count;azure_jobstartevent_maximum;azure_jobstartevent_minimum;azure_jobstartevent_total,Total number of jobs that have been successfully started.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobterminatecompleteevent_average;azure_jobterminatecompleteevent_count;azure_jobterminatecompleteevent_maximum;azure_jobterminatecompleteevent_minimum;azure_jobterminatecompleteevent_total,Total number of jobs that have been successfully terminated.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
azure_jobterminatestartevent_average;azure_jobterminatestartevent_count;azure_jobterminatestartevent_maximum;azure_jobterminatestartevent_minimum;azure_jobterminatestartevent_total,Total number of jobs that have been requested to be terminated.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobid,total
