Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_bytehitratio_average;azure_bytehitratio_count;azure_bytehitratio_maximum;azure_bytehitratio_minimum;azure_bytehitratio_total,This is the ratio of the total bytes served from the cache compared to the total response bytes,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint,average
azure_originhealthpercentage_average;azure_originhealthpercentage_count;azure_originhealthpercentage_maximum;azure_originhealthpercentage_minimum;azure_originhealthpercentage_total,The percentage of successful health probes from AFDX to backends.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_origin;metadata_origingroup,average
azure_originlatency_average;azure_originlatency_count;azure_originlatency_maximum;azure_originlatency_minimum;azure_originlatency_total,The time calculated from when the request was sent by AFDX edge to the backend until AFDX received the last response byte from the backend.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_origin;metadata_endpoint,average
azure_originrequestcount_average;azure_originrequestcount_count;azure_originrequestcount_maximum;azure_originrequestcount_minimum;azure_originrequestcount_total,The number of requests sent from AFDX to origin.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_origin;metadata_endpoint,total
azure_percentage4xx_average;azure_percentage4xx_count;azure_percentage4xx_maximum;azure_percentage4xx_minimum;azure_percentage4xx_total,The percentage of all the client requests for which the response status code is 4XX,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint;metadata_clientregion;metadata_clientcountry,average
azure_percentage5xx_average;azure_percentage5xx_count;azure_percentage5xx_maximum;azure_percentage5xx_minimum;azure_percentage5xx_total,The percentage of all the client requests for which the response status code is 5XX,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint;metadata_clientregion;metadata_clientcountry,average
azure_requestcount_average;azure_requestcount_count;azure_requestcount_maximum;azure_requestcount_minimum;azure_requestcount_total,The number of client requests served by the HTTP/S proxy,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry;metadata_endpoint,total
azure_requestsize_average;azure_requestsize_count;azure_requestsize_maximum;azure_requestsize_minimum;azure_requestsize_total,The number of bytes sent as requests from clients to AFDX.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry;metadata_endpoint,total
azure_responsesize_average;azure_responsesize_count;azure_responsesize_maximum;azure_responsesize_minimum;azure_responsesize_total,The number of bytes sent as responses from HTTP/S proxy to clients,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry;metadata_endpoint,total
azure_totallatency_average;azure_totallatency_count;azure_totallatency_maximum;azure_totallatency_minimum;azure_totallatency_total,The time calculated from when the client request was received by the HTTP/S proxy until the client acknowledged the last response byte from the HTTP/S proxy,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry;metadata_endpoint,average
azure_webapplicationfirewallrequestcount_average;azure_webapplicationfirewallrequestcount_count;azure_webapplicationfirewallrequestcount_maximum;azure_webapplicationfirewallrequestcount_minimum;azure_webapplicationfirewallrequestcount_total,The number of client requests processed by the Web Application Firewall,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_policyname;metadata_rulename;metadata_action,total
