azure_availability_average;azure_availability_count;azure_availability_maximum;azure_availability_minimum;azure_availability_total,Gauge,Percent,"The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.",
azure_egress_average;azure_egress_count;azure_egress_maximum;azure_egress_minimum;azure_egress_total,Gauge,Bytes,"The amount of egress data, in bytes. This number includes egress from an external client into Azure Storage as well as egress within Azure. As a result, this number does not reflect billable egress.",
azure_filecapacity_average;azure_filecapacity_count;azure_filecapacity_maximum;azure_filecapacity_minimum;azure_filecapacity_total,Gauge,Bytes,The amount of storage used by the storage account's File service in bytes.,
azure_filecount_average;azure_filecount_count;azure_filecount_maximum;azure_filecount_minimum;azure_filecount_total,Gauge,Count,The number of file in the storage account's File service.,
azure_filesharecount_average;azure_filesharecount_count;azure_filesharecount_maximum;azure_filesharecount_minimum;azure_filesharecount_total,Gauge,Count,The number of file shares in the storage account's File service.,
azure_filesharequota_average;azure_filesharequota_count;azure_filesharequota_maximum;azure_filesharequota_minimum;azure_filesharequota_total,Gauge,Bytes,The upper limit on the amount of storage that can be used by Azure Files Service in bytes.,
azure_filesharesnapshotcount_average;azure_filesharesnapshotcount_count;azure_filesharesnapshotcount_maximum;azure_filesharesnapshotcount_minimum;azure_filesharesnapshotcount_total,Gauge,Count,The number of snapshots present on the share in storage account's Files Service.,
azure_filesharesnapshotsize_average;azure_filesharesnapshotsize_count;azure_filesharesnapshotsize_maximum;azure_filesharesnapshotsize_minimum;azure_filesharesnapshotsize_total,Gauge,Bytes,The amount of storage used by the snapshots in storage account's File service in bytes.,
azure_ingress_average;azure_ingress_count;azure_ingress_maximum;azure_ingress_minimum;azure_ingress_total,Gauge,Bytes,"The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.",
azure_successe2elatency_average;azure_successe2elatency_count;azure_successe2elatency_maximum;azure_successe2elatency_minimum;azure_successe2elatency_total,Gauge,Milliseconds,"The end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.",
azure_successserverlatency_average;azure_successserverlatency_count;azure_successserverlatency_maximum;azure_successserverlatency_minimum;azure_successserverlatency_total,Gauge,Milliseconds,"The latency used by Azure Storage to process a successful request, in milliseconds. This value does not include the network latency specified in SuccessE2ELatency.",
azure_transactions_average;azure_transactions_count;azure_transactions_maximum;azure_transactions_minimum;azure_transactions_total,Gauge,Count,"The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.",
