azure_apirequestauthentication_average;azure_apirequestauthentication_count;azure_apirequestauthentication_maximum;azure_apirequestauthentication_minimum;azure_apirequestauthentication_total,Gauge,Count,Count of all requests against the Communication Services Authentication endpoint.,
azure_apirequestcallautomation_average;azure_apirequestcallautomation_count;azure_apirequestcallautomation_maximum;azure_apirequestcallautomation_minimum;azure_apirequestcallautomation_total,Gauge,Count,Count of all requests against the Communication Call Automation endpoint.,
azure_apirequestcallrecording_average;azure_apirequestcallrecording_count;azure_apirequestcallrecording_maximum;azure_apirequestcallrecording_minimum;azure_apirequestcallrecording_total,Gauge,Count,Count of all requests against the Communication Services Call Recording endpoint.,
azure_apirequestchat_average;azure_apirequestchat_count;azure_apirequestchat_maximum;azure_apirequestchat_minimum;azure_apirequestchat_total,Gauge,Count,Count of all requests against the Communication Services Chat endpoint.,
azure_apirequestnetworktraversal_average;azure_apirequestnetworktraversal_count;azure_apirequestnetworktraversal_maximum;azure_apirequestnetworktraversal_minimum;azure_apirequestnetworktraversal_total,Gauge,Count,Count of all requests against the Communication Services Network Traversal endpoint.,
azure_apirequestrooms_average;azure_apirequestrooms_count;azure_apirequestrooms_maximum;azure_apirequestrooms_minimum;azure_apirequestrooms_total,Gauge,Count,Count of all requests against the Communication Services Rooms endpoint.,
azure_apirequestrouter_average;azure_apirequestrouter_count;azure_apirequestrouter_maximum;azure_apirequestrouter_minimum;azure_apirequestrouter_total,Gauge,Count,Count of all requests against the Communication Services Job Router endpoint.,
azure_apirequests_average;azure_apirequests_count;azure_apirequests_maximum;azure_apirequests_minimum;azure_apirequests_total,Gauge,Count,Email Communication Services API request metric for the data-plane API surface.,
azure_apirequestsms_average;azure_apirequestsms_count;azure_apirequestsms_maximum;azure_apirequestsms_minimum;azure_apirequestsms_total,Gauge,Count,Count of all requests against the Communication Services SMS endpoint.,
azure_deliverystatusupdate_average;azure_deliverystatusupdate_count;azure_deliverystatusupdate_maximum;azure_deliverystatusupdate_minimum;azure_deliverystatusupdate_total,Gauge,Count,Email Communication Services message delivery results.,
azure_userengagement_average;azure_userengagement_count;azure_userengagement_maximum;azure_userengagement_minimum;azure_userengagement_total,Gauge,Count,Email Communication Services user engagement metrics.,
