Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_claimsproviderrequestlatency_average;azure_claimsproviderrequestlatency_count;azure_claimsproviderrequestlatency_maximum;azure_claimsproviderrequestlatency_minimum;azure_claimsproviderrequestlatency_total,The average execution time of requests to the customer claims provider endpoint in milliseconds.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,average
azure_claimsproviderrequests_average;azure_claimsproviderrequests_count;azure_claimsproviderrequests_maximum;azure_claimsproviderrequests_minimum;azure_claimsproviderrequests_total,Number of requests to claims provider,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_connectionservicerequestruntime_average;azure_connectionservicerequestruntime_count;azure_connectionservicerequestruntime_maximum;azure_connectionservicerequestruntime_minimum;azure_connectionservicerequestruntime_total,Vehicle conneciton request execution time average in milliseconds,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,average
azure_connectionservicerequests_average;azure_connectionservicerequests_count;azure_connectionservicerequests_maximum;azure_connectionservicerequests_minimum;azure_connectionservicerequests_total,Total number of vehicle connection requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_datapipelinemessagecount_average;azure_datapipelinemessagecount_count;azure_datapipelinemessagecount_maximum;azure_datapipelinemessagecount_minimum;azure_datapipelinemessagecount_total,The total number of messages sent to the MCVP data pipeline for storage.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_extensioninvocationcount_average;azure_extensioninvocationcount_count;azure_extensioninvocationcount_maximum;azure_extensioninvocationcount_minimum;azure_extensioninvocationcount_total,Total number of times an extension was called.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,total
azure_extensioninvocationruntime_average;azure_extensioninvocationruntime_count;azure_extensioninvocationruntime_maximum;azure_extensioninvocationruntime_minimum;azure_extensioninvocationruntime_total,Average execution time spent inside an extension in milliseconds.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,average
azure_messagesincount_average;azure_messagesincount_count;azure_messagesincount_maximum;azure_messagesincount_minimum;azure_messagesincount_total,The total number of vehicle-sourced publishes.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_messagesoutcount_average;azure_messagesoutcount_count;azure_messagesoutcount_maximum;azure_messagesoutcount_minimum;azure_messagesoutcount_total,The total number of cloud-sourced publishes.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_provisionerservicerequestruntime_average;azure_provisionerservicerequestruntime_count;azure_provisionerservicerequestruntime_maximum;azure_provisionerservicerequestruntime_minimum;azure_provisionerservicerequestruntime_total,The average execution time of vehicle provision requests in milliseconds,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,average
azure_provisionerservicerequests_average;azure_provisionerservicerequests_count;azure_provisionerservicerequests_maximum;azure_provisionerservicerequests_minimum;azure_provisionerservicerequests_total,Total number of vehicle provision requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_issuccessful;metadata_failurecategory,total
azure_statestorereadrequestlatency_average;azure_statestorereadrequestlatency_count;azure_statestorereadrequestlatency_maximum;azure_statestorereadrequestlatency_minimum;azure_statestorereadrequestlatency_total,State store read request execution time average in milliseconds.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,average
azure_statestorereadrequests_average;azure_statestorereadrequests_count;azure_statestorereadrequests_maximum;azure_statestorereadrequests_minimum;azure_statestorereadrequests_total,Number of read requests to state store,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,total
azure_statestorewriterequestlatency_average;azure_statestorewriterequestlatency_count;azure_statestorewriterequestlatency_maximum;azure_statestorewriterequestlatency_minimum;azure_statestorewriterequestlatency_total,State store write request execution time average in milliseconds.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,average
azure_statestorewriterequests_average;azure_statestorewriterequests_count;azure_statestorewriterequests_maximum;azure_statestorewriterequests_minimum;azure_statestorewriterequests_total,Number of write requests to state store,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_extensionname;metadata_issuccessful;metadata_failurecategory,total
