Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_apiserver_current_inflight_requests_average;azure_apiserver_current_inflight_requests_count;azure_apiserver_current_inflight_requests_maximum;azure_apiserver_current_inflight_requests_minimum;azure_apiserver_current_inflight_requests_total,Maximum number of currently used inflight requests on the apiserver per request kind in the last second,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_requestkind,average
azure_cluster_autoscaler_cluster_safe_to_autoscale_average;azure_cluster_autoscaler_cluster_safe_to_autoscale_count;azure_cluster_autoscaler_cluster_safe_to_autoscale_maximum;azure_cluster_autoscaler_cluster_safe_to_autoscale_minimum;azure_cluster_autoscaler_cluster_safe_to_autoscale_total,Determines whether or not cluster autoscaler will take action on the cluster,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cluster_autoscaler_scale_down_in_cooldown_average;azure_cluster_autoscaler_scale_down_in_cooldown_count;azure_cluster_autoscaler_scale_down_in_cooldown_maximum;azure_cluster_autoscaler_scale_down_in_cooldown_minimum;azure_cluster_autoscaler_scale_down_in_cooldown_total,Determines if the scale down is in cooldown - No nodes will be removed during this timeframe,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cluster_autoscaler_unneeded_nodes_count_average;azure_cluster_autoscaler_unneeded_nodes_count_count;azure_cluster_autoscaler_unneeded_nodes_count_maximum;azure_cluster_autoscaler_unneeded_nodes_count_minimum;azure_cluster_autoscaler_unneeded_nodes_count_total,Cluster auotscaler marks those nodes as candidates for deletion and are eventually deleted,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cluster_autoscaler_unschedulable_pods_count_average;azure_cluster_autoscaler_unschedulable_pods_count_count;azure_cluster_autoscaler_unschedulable_pods_count_maximum;azure_cluster_autoscaler_unschedulable_pods_count_minimum;azure_cluster_autoscaler_unschedulable_pods_count_total,Number of pods that are currently unschedulable in the cluster,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_kube_node_status_allocatable_cpu_cores_average;azure_kube_node_status_allocatable_cpu_cores_count;azure_kube_node_status_allocatable_cpu_cores_maximum;azure_kube_node_status_allocatable_cpu_cores_minimum;azure_kube_node_status_allocatable_cpu_cores_total,Total number of available cpu cores in a managed cluster,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_kube_node_status_allocatable_memory_bytes_average;azure_kube_node_status_allocatable_memory_bytes_count;azure_kube_node_status_allocatable_memory_bytes_maximum;azure_kube_node_status_allocatable_memory_bytes_minimum;azure_kube_node_status_allocatable_memory_bytes_total,Total amount of available memory in a managed cluster,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_kube_node_status_condition_average;azure_kube_node_status_condition_count;azure_kube_node_status_condition_maximum;azure_kube_node_status_condition_minimum;azure_kube_node_status_condition_total,Statuses for various node conditions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_condition;metadata_status;metadata_status2;metadata_node,average
azure_kube_pod_status_phase_average;azure_kube_pod_status_phase_count;azure_kube_pod_status_phase_maximum;azure_kube_pod_status_phase_minimum;azure_kube_pod_status_phase_total,Number of pods by phase,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_phase;metadata_namespace;metadata_pod,average
azure_kube_pod_status_ready_average;azure_kube_pod_status_ready_count;azure_kube_pod_status_ready_maximum;azure_kube_pod_status_ready_minimum;azure_kube_pod_status_ready_total,Number of pods in Ready state,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_namespace;metadata_pod;metadata_condition,average
azure_node_cpu_usage_millicores_average;azure_node_cpu_usage_millicores_count;azure_node_cpu_usage_millicores_maximum;azure_node_cpu_usage_millicores_minimum;azure_node_cpu_usage_millicores_total,Aggregated measurement of CPU utilization in millicores across the cluster,MilliCores,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_node;metadata_nodepool,average
