Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_availablecapacity_average;azure_availablecapacity_count;azure_availablecapacity_maximum;azure_availablecapacity_minimum;azure_availablecapacity_total,The available capacity in bytes during the reporting period.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_bytesuploadedtocloud_average;azure_bytesuploadedtocloud_count;azure_bytesuploadedtocloud_maximum;azure_bytesuploadedtocloud_minimum;azure_bytesuploadedtocloud_total,The total number of bytes that is uploaded to Azure from a device during the reporting period.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_bytesuploadedtocloudpershare_average;azure_bytesuploadedtocloudpershare_count;azure_bytesuploadedtocloudpershare_maximum;azure_bytesuploadedtocloudpershare_minimum;azure_bytesuploadedtocloudpershare_total,The total number of bytes that is uploaded to Azure from a share during the reporting period.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_share,average
azure_cloudreadthroughput_average;azure_cloudreadthroughput_count;azure_cloudreadthroughput_maximum;azure_cloudreadthroughput_minimum;azure_cloudreadthroughput_total,The cloud download throughput to Azure during the reporting period.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cloudreadthroughputpershare_average;azure_cloudreadthroughputpershare_count;azure_cloudreadthroughputpershare_maximum;azure_cloudreadthroughputpershare_minimum;azure_cloudreadthroughputpershare_total,The download throughput to Azure from a share during the reporting period.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_share,average
azure_clouduploadthroughput_average;azure_clouduploadthroughput_count;azure_clouduploadthroughput_maximum;azure_clouduploadthroughput_minimum;azure_clouduploadthroughput_total,The cloud upload throughput  to Azure during the reporting period.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clouduploadthroughputpershare_average;azure_clouduploadthroughputpershare_count;azure_clouduploadthroughputpershare_maximum;azure_clouduploadthroughputpershare_minimum;azure_clouduploadthroughputpershare_total,The upload throughput to Azure from a share during the reporting period.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_share,average
azure_hypervmemoryutilization_average;azure_hypervmemoryutilization_count;azure_hypervmemoryutilization_maximum;azure_hypervmemoryutilization_minimum;azure_hypervmemoryutilization_total,Amount of RAM in Use,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instancename,average
azure_hypervvirtualprocessorutilization_average;azure_hypervvirtualprocessorutilization_count;azure_hypervvirtualprocessorutilization_maximum;azure_hypervvirtualprocessorutilization_minimum;azure_hypervvirtualprocessorutilization_total,Percent CPU Usage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instancename,average
azure_nicreadthroughput_average;azure_nicreadthroughput_count;azure_nicreadthroughput_maximum;azure_nicreadthroughput_minimum;azure_nicreadthroughput_total,The read throughput of the network interface on the device in the reporting period for all volumes in the gateway.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instancename,average
azure_nicwritethroughput_average;azure_nicwritethroughput_count;azure_nicwritethroughput_maximum;azure_nicwritethroughput_minimum;azure_nicwritethroughput_total,The write throughput of the network interface on the device in the reporting period for all volumes in the gateway.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instancename,average
azure_totalcapacity_average;azure_totalcapacity_count;azure_totalcapacity_maximum;azure_totalcapacity_minimum;azure_totalcapacity_total,The total capacity of the device in bytes during the reporting period.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
