Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_activitycancelledruns_average;azure_activitycancelledruns_count;azure_activitycancelledruns_maximum;azure_activitycancelledruns_minimum;azure_activitycancelledruns_total,Cancelled activity runs metrics,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_activitytype;metadata_pipelinename;metadata_failuretype;metadata_name,total
azure_activityfailedruns_average;azure_activityfailedruns_count;azure_activityfailedruns_maximum;azure_activityfailedruns_minimum;azure_activityfailedruns_total,Failed activity runs metrics,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_activitytype;metadata_pipelinename;metadata_failuretype;metadata_name,total
azure_activitysucceededruns_average;azure_activitysucceededruns_count;azure_activitysucceededruns_maximum;azure_activitysucceededruns_minimum;azure_activitysucceededruns_total,Succeeded activity runs metrics,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_activitytype;metadata_pipelinename;metadata_failuretype;metadata_name,total
azure_airflowintegrationruntimecelerytasktimeouterror_average;azure_airflowintegrationruntimecelerytasktimeouterror_count;azure_airflowintegrationruntimecelerytasktimeouterror_maximum;azure_airflowintegrationruntimecelerytasktimeouterror_minimum;azure_airflowintegrationruntimecelerytasktimeouterror_total,Airflow Integration Runtime Celery Task Timeout Error,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename,total
azure_airflowintegrationruntimecollectdbdags_average;azure_airflowintegrationruntimecollectdbdags_count;azure_airflowintegrationruntimecollectdbdags_maximum;azure_airflowintegrationruntimecollectdbdags_minimum;azure_airflowintegrationruntimecollectdbdags_total,Airflow Integration Runtime Collect DB Dags,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename,average
azure_airflowintegrationruntimecpupercentage_average;azure_airflowintegrationruntimecpupercentage_count;azure_airflowintegrationruntimecpupercentage_maximum;azure_airflowintegrationruntimecpupercentage_minimum;azure_airflowintegrationruntimecpupercentage_total,Airflow Integration Runtime Cpu Percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename;metadata_containername,average
azure_airflowintegrationruntimecpuusage_average;azure_airflowintegrationruntimecpuusage_count;azure_airflowintegrationruntimecpuusage_maximum;azure_airflowintegrationruntimecpuusage_minimum;azure_airflowintegrationruntimecpuusage_total,Airflow Integration Runtime Memory Usage,Millicores,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename;metadata_containername,average
azure_airflowintegrationruntimedagbagsize_average;azure_airflowintegrationruntimedagbagsize_count;azure_airflowintegrationruntimedagbagsize_maximum;azure_airflowintegrationruntimedagbagsize_minimum;azure_airflowintegrationruntimedagbagsize_total,Airflow Integration Runtime Dag Bag Size,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename,total
azure_airflowintegrationruntimedagcallbackexceptions_average;azure_airflowintegrationruntimedagcallbackexceptions_count;azure_airflowintegrationruntimedagcallbackexceptions_maximum;azure_airflowintegrationruntimedagcallbackexceptions_minimum;azure_airflowintegrationruntimedagcallbackexceptions_total,Airflow Integration Runtime Dag Callback Exceptions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename,total
azure_airflowintegrationruntimedagfilerefresherror_average;azure_airflowintegrationruntimedagfilerefresherror_count;azure_airflowintegrationruntimedagfilerefresherror_maximum;azure_airflowintegrationruntimedagfilerefresherror_minimum;azure_airflowintegrationruntimedagfilerefresherror_total,Airflow Integration Runtime DAG File Refresh Error,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_integrationruntimename,total
