Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_c2d.commands.egress.abandon.success_average;azure_c2d.commands.egress.abandon.success_count;azure_c2d.commands.egress.abandon.success_maximum;azure_c2d.commands.egress.abandon.success_minimum;azure_c2d.commands.egress.abandon.success_total,Number of cloud-to-device messages abandoned by the device,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.commands.egress.complete.success_average;azure_c2d.commands.egress.complete.success_count;azure_c2d.commands.egress.complete.success_maximum;azure_c2d.commands.egress.complete.success_minimum;azure_c2d.commands.egress.complete.success_total,Number of cloud-to-device message deliveries completed successfully by the device,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.commands.egress.reject.success_average;azure_c2d.commands.egress.reject.success_count;azure_c2d.commands.egress.reject.success_maximum;azure_c2d.commands.egress.reject.success_minimum;azure_c2d.commands.egress.reject.success_total,Number of cloud-to-device messages rejected by the device,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.methods.failure_average;azure_c2d.methods.failure_count;azure_c2d.methods.failure_maximum;azure_c2d.methods.failure_minimum;azure_c2d.methods.failure_total,The count of all failed direct method calls.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.methods.requestsize_average;azure_c2d.methods.requestsize_count;azure_c2d.methods.requestsize_maximum;azure_c2d.methods.requestsize_minimum;azure_c2d.methods.requestsize_total,"The average, min, and max of all successful direct method requests.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_c2d.methods.responsesize_average;azure_c2d.methods.responsesize_count;azure_c2d.methods.responsesize_maximum;azure_c2d.methods.responsesize_minimum;azure_c2d.methods.responsesize_total,"The average, min, and max of all successful direct method responses.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_c2d.methods.success_average;azure_c2d.methods.success_count;azure_c2d.methods.success_maximum;azure_c2d.methods.success_minimum;azure_c2d.methods.success_total,The count of all successful direct method calls.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.twin.read.failure_average;azure_c2d.twin.read.failure_count;azure_c2d.twin.read.failure_maximum;azure_c2d.twin.read.failure_minimum;azure_c2d.twin.read.failure_total,The count of all failed back-end-initiated twin reads.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.twin.read.size_average;azure_c2d.twin.read.size_count;azure_c2d.twin.read.size_maximum;azure_c2d.twin.read.size_minimum;azure_c2d.twin.read.size_total,"The average, min, and max of all successful back-end-initiated twin reads.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_c2d.twin.read.success_average;azure_c2d.twin.read.success_count;azure_c2d.twin.read.success_maximum;azure_c2d.twin.read.success_minimum;azure_c2d.twin.read.success_total,The count of all successful back-end-initiated twin reads.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
