Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cassandra_cache_capacity_average;azure_cassandra_cache_capacity_count;azure_cassandra_cache_capacity_maximum;azure_cassandra_cache_capacity_minimum;azure_cassandra_cache_capacity_total,Cache capacity in bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,total
azure_cassandra_cache_entries_average;azure_cassandra_cache_entries_count;azure_cassandra_cache_entries_maximum;azure_cassandra_cache_entries_minimum;azure_cassandra_cache_entries_total,Total number of cache entries.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,total
azure_cassandra_cache_hit_rate_average;azure_cassandra_cache_hit_rate_count;azure_cassandra_cache_hit_rate_maximum;azure_cassandra_cache_hit_rate_minimum;azure_cassandra_cache_hit_rate_total,All time cache hit rate.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,average
azure_cassandra_cache_hits_average;azure_cassandra_cache_hits_count;azure_cassandra_cache_hits_maximum;azure_cassandra_cache_hits_minimum;azure_cassandra_cache_hits_total,Total number of cache hits.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,total
azure_cassandra_cache_miss_latency_histogram_average;azure_cassandra_cache_miss_latency_histogram_count;azure_cassandra_cache_miss_latency_histogram_maximum;azure_cassandra_cache_miss_latency_histogram_minimum;azure_cassandra_cache_miss_latency_histogram_total,Average cache miss latency (in microseconds).,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_quantile,average
azure_cassandra_cache_miss_latency_p99_average;azure_cassandra_cache_miss_latency_p99_count;azure_cassandra_cache_miss_latency_p99_maximum;azure_cassandra_cache_miss_latency_p99_minimum;azure_cassandra_cache_miss_latency_p99_total,p99 Latency of misses.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,average
azure_cassandra_cache_requests_average;azure_cassandra_cache_requests_count;azure_cassandra_cache_requests_maximum;azure_cassandra_cache_requests_minimum;azure_cassandra_cache_requests_total,Total number of cache requests.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,total
azure_cassandra_cache_size_average;azure_cassandra_cache_size_count;azure_cassandra_cache_size_maximum;azure_cassandra_cache_size_minimum;azure_cassandra_cache_size_total,"Total size of occupied cache, in bytes.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node;metadata_cache_name,total
azure_cassandra_client_auth_failure_average;azure_cassandra_client_auth_failure_count;azure_cassandra_client_auth_failure_maximum;azure_cassandra_client_auth_failure_minimum;azure_cassandra_client_auth_failure_total,Number of failed client authentication requests.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node,total
azure_cassandra_client_auth_failure2_average;azure_cassandra_client_auth_failure2_count;azure_cassandra_client_auth_failure2_maximum;azure_cassandra_client_auth_failure2_minimum;azure_cassandra_client_auth_failure2_total,Number of failed client authentication requests.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cassandra_datacenter;metadata_cassandra_node,total
