Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_addregion_average;azure_addregion_count;azure_addregion_maximum;azure_addregion_minimum;azure_addregion_total,Region Added,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region,count
azure_autoscalemaxthroughput_average;azure_autoscalemaxthroughput_count;azure_autoscalemaxthroughput_maximum;azure_autoscalemaxthroughput_minimum;azure_autoscalemaxthroughput_total,Autoscale Max Throughput,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename;metadata_collectionname,maximum
azure_availablestorage_average;azure_availablestorage_count;azure_availablestorage_maximum;azure_availablestorage_minimum;azure_availablestorage_total,"""Available Storage""will be removed from Azure Monitor at the end of September 2023. Cosmos DB collection storage size is now unlimited. The only restriction is that the storage size for each logical partition key is 20GB. You can enable PartitionKeyStatistics in Diagnostic Log to know the storage consumption for top partition keys. For more info about Cosmos DB storage quota, please check this doc https://docs.microsoft.com/azure/cosmos-db/concepts-limits. After deprecation, the remaining alert rules still defined on the deprecated metric will be automatically disabled post the deprecation date.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_collectionname;metadata_databasename;metadata_region,total
azure_cassandraconnectionclosures_average;azure_cassandraconnectionclosures_count;azure_cassandraconnectionclosures_maximum;azure_cassandraconnectionclosures_minimum;azure_cassandraconnectionclosures_total,"Number of Cassandra connections that were closed, reported at a 1 minute granularity",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apitype;metadata_region;metadata_closurereason,total
azure_cassandraconnectoravgreplicationlatency_average;azure_cassandraconnectoravgreplicationlatency_count;azure_cassandraconnectoravgreplicationlatency_maximum;azure_cassandraconnectoravgreplicationlatency_minimum;azure_cassandraconnectoravgreplicationlatency_total,Cassandra Connector Average ReplicationLatency,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cassandraconnectorreplicationhealthstatus_average;azure_cassandraconnectorreplicationhealthstatus_count;azure_cassandraconnectorreplicationhealthstatus_maximum;azure_cassandraconnectorreplicationhealthstatus_minimum;azure_cassandraconnectorreplicationhealthstatus_total,Cassandra Connector Replication Health Status,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_notstarted;metadata_replicationinprogress;metadata_error,count
azure_cassandrakeyspacecreate_average;azure_cassandrakeyspacecreate_count;azure_cassandrakeyspacecreate_maximum;azure_cassandrakeyspacecreate_minimum;azure_cassandrakeyspacecreate_total,Cassandra Keyspace Created,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest;metadata_operationtype,count
azure_cassandrakeyspacedelete_average;azure_cassandrakeyspacedelete_count;azure_cassandrakeyspacedelete_maximum;azure_cassandrakeyspacedelete_minimum;azure_cassandrakeyspacedelete_total,Cassandra Keyspace Deleted,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_operationtype,count
azure_cassandrakeyspacethroughputupdate_average;azure_cassandrakeyspacethroughputupdate_count;azure_cassandrakeyspacethroughputupdate_maximum;azure_cassandrakeyspacethroughputupdate_minimum;azure_cassandrakeyspacethroughputupdate_total,Cassandra Keyspace Throughput Updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest,count
azure_cassandrakeyspaceupdate_average;azure_cassandrakeyspaceupdate_count;azure_cassandrakeyspaceupdate_maximum;azure_cassandrakeyspaceupdate_minimum;azure_cassandrakeyspaceupdate_total,Cassandra Keyspace Updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest;metadata_operationtype,count
