azure_advancedfilterevaluationcount_average;azure_advancedfilterevaluationcount_count;azure_advancedfilterevaluationcount_maximum;azure_advancedfilterevaluationcount_minimum;azure_advancedfilterevaluationcount_total,Gauge,Count,Total advanced filters evaluated across event subscriptions for this topic.,
azure_deadletteredcount_average;azure_deadletteredcount_count;azure_deadletteredcount_maximum;azure_deadletteredcount_minimum;azure_deadletteredcount_total,Gauge,Count,Total dead lettered events matching to this event subscription,
azure_deliveryattemptfailcount_average;azure_deliveryattemptfailcount_count;azure_deliveryattemptfailcount_maximum;azure_deliveryattemptfailcount_minimum;azure_deliveryattemptfailcount_total,Gauge,Count,Total events failed to deliver to this event subscription,
azure_deliverysuccesscount_average;azure_deliverysuccesscount_count;azure_deliverysuccesscount_maximum;azure_deliverysuccesscount_minimum;azure_deliverysuccesscount_total,Gauge,Count,Total events delivered to this event subscription,
azure_destinationprocessingdurationinms_average;azure_destinationprocessingdurationinms_count;azure_destinationprocessingdurationinms_maximum;azure_destinationprocessingdurationinms_minimum;azure_destinationprocessingdurationinms_total,Gauge,MilliSeconds,Destination processing duration in milliseconds,
azure_droppedeventcount_average;azure_droppedeventcount_count;azure_droppedeventcount_maximum;azure_droppedeventcount_minimum;azure_droppedeventcount_total,Gauge,Count,Total dropped events matching to this event subscription,
azure_matchedeventcount_average;azure_matchedeventcount_count;azure_matchedeventcount_maximum;azure_matchedeventcount_minimum;azure_matchedeventcount_total,Gauge,Count,Total events matched to this event subscription,
azure_publishfailcount_average;azure_publishfailcount_count;azure_publishfailcount_maximum;azure_publishfailcount_minimum;azure_publishfailcount_total,Gauge,Count,Total events failed to publish to this topic,
azure_publishsuccesscount_average;azure_publishsuccesscount_count;azure_publishsuccesscount_maximum;azure_publishsuccesscount_minimum;azure_publishsuccesscount_total,Gauge,Count,Total events published to this topic,
azure_publishsuccesslatencyinms_average;azure_publishsuccesslatencyinms_count;azure_publishsuccesslatencyinms_maximum;azure_publishsuccesslatencyinms_minimum;azure_publishsuccesslatencyinms_total,Gauge,MilliSeconds,Publish success latency in milliseconds,
