Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_activeconnections_average;azure_activeconnections_count;azure_activeconnections_maximum;azure_activeconnections_minimum;azure_activeconnections_total,Total Active Connections for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_availablememory_average;azure_availablememory_count;azure_availablememory_maximum;azure_availablememory_minimum;azure_availablememory_total,Available memory for the Event Hub Cluster as a percentage of total memory.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_role,maximum
azure_capturebacklog_average;azure_capturebacklog_count;azure_capturebacklog_maximum;azure_capturebacklog_minimum;azure_capturebacklog_total,Capture Backlog for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_capturedbytes_average;azure_capturedbytes_count;azure_capturedbytes_maximum;azure_capturedbytes_minimum;azure_capturedbytes_total,Captured Bytes for Microsoft.EventHub.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_capturedmessages_average;azure_capturedmessages_count;azure_capturedmessages_maximum;azure_capturedmessages_minimum;azure_capturedmessages_total,Captured Messages for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_connectionsclosed_average;azure_connectionsclosed_count;azure_connectionsclosed_maximum;azure_connectionsclosed_minimum;azure_connectionsclosed_total,Connections Closed for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_connectionsopened_average;azure_connectionsopened_count;azure_connectionsopened_maximum;azure_connectionsopened_minimum;azure_connectionsopened_total,Connections Opened for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_average;azure_cpu_count;azure_cpu_maximum;azure_cpu_minimum;azure_cpu_total,CPU utilization for the Event Hub Cluster as a percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_role,maximum
azure_incomingbytes_average;azure_incomingbytes_count;azure_incomingbytes_maximum;azure_incomingbytes_minimum;azure_incomingbytes_total,Incoming Bytes for Microsoft.EventHub.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_incomingmessages_average;azure_incomingmessages_count;azure_incomingmessages_maximum;azure_incomingmessages_minimum;azure_incomingmessages_total,Incoming Messages for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_incomingrequests_average;azure_incomingrequests_count;azure_incomingrequests_maximum;azure_incomingrequests_minimum;azure_incomingrequests_total,Incoming Requests for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_outgoingbytes_average;azure_outgoingbytes_count;azure_outgoingbytes_maximum;azure_outgoingbytes_minimum;azure_outgoingbytes_total,Outgoing Bytes for Microsoft.EventHub.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_outgoingmessages_average;azure_outgoingmessages_count;azure_outgoingmessages_maximum;azure_outgoingmessages_minimum;azure_outgoingmessages_total,Outgoing Messages for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_quotaexceedederrors_average;azure_quotaexceedederrors_count;azure_quotaexceedederrors_maximum;azure_quotaexceedederrors_minimum;azure_quotaexceedederrors_total,Quota Exceeded Errors for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operationresult,total
azure_servererrors_average;azure_servererrors_count;azure_servererrors_maximum;azure_servererrors_minimum;azure_servererrors_total,Server Errors for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operationresult,total
azure_size_average;azure_size_count;azure_size_maximum;azure_size_minimum;azure_size_total,Size of an EventHub in Bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_role,average
azure_successfulrequests_average;azure_successfulrequests_count;azure_successfulrequests_maximum;azure_successfulrequests_minimum;azure_successfulrequests_total,Successful Requests for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operationresult,total
azure_throttledrequests_average;azure_throttledrequests_count;azure_throttledrequests_maximum;azure_throttledrequests_minimum;azure_throttledrequests_total,Throttled Requests for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operationresult,total
azure_usererrors_average;azure_usererrors_count;azure_usererrors_maximum;azure_usererrors_minimum;azure_usererrors_total,User Errors for Microsoft.EventHub.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operationresult,total
