Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_categorizedgatewayrequests_average;azure_categorizedgatewayrequests_count;azure_categorizedgatewayrequests_maximum;azure_categorizedgatewayrequests_minimum;azure_categorizedgatewayrequests_total,Number of gateway requests by categories (1xx/2xx/3xx/4xx/5xx),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus,total
azure_gatewayrequests_average;azure_gatewayrequests_count;azure_gatewayrequests_maximum;azure_gatewayrequests_minimum;azure_gatewayrequests_total,Number of gateway requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus,total
azure_kafkarestproxy.consumerrequest.m1_delta_average;azure_kafkarestproxy.consumerrequest.m1_delta_count;azure_kafkarestproxy.consumerrequest.m1_delta_maximum;azure_kafkarestproxy.consumerrequest.m1_delta_minimum;azure_kafkarestproxy.consumerrequest.m1_delta_total,Number of consumer requests to Kafka REST proxy,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.consumerrequestfail.m1_delta_average;azure_kafkarestproxy.consumerrequestfail.m1_delta_count;azure_kafkarestproxy.consumerrequestfail.m1_delta_maximum;azure_kafkarestproxy.consumerrequestfail.m1_delta_minimum;azure_kafkarestproxy.consumerrequestfail.m1_delta_total,Consumer request exceptions,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.consumerrequesttime.p95_average;azure_kafkarestproxy.consumerrequesttime.p95_count;azure_kafkarestproxy.consumerrequesttime.p95_maximum;azure_kafkarestproxy.consumerrequesttime.p95_minimum;azure_kafkarestproxy.consumerrequesttime.p95_total,Message latency in a consumer request through Kafka REST proxy,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,average
azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_average;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_count;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_maximum;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_minimum;azure_kafkarestproxy.consumerrequestwaitinginqueuetime.p95_total,Consumer REST proxy queue length,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,average
azure_kafkarestproxy.messagesin.m1_delta_average;azure_kafkarestproxy.messagesin.m1_delta_count;azure_kafkarestproxy.messagesin.m1_delta_maximum;azure_kafkarestproxy.messagesin.m1_delta_minimum;azure_kafkarestproxy.messagesin.m1_delta_total,Number of producer messages through Kafka REST proxy,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.messagesout.m1_delta_average;azure_kafkarestproxy.messagesout.m1_delta_count;azure_kafkarestproxy.messagesout.m1_delta_maximum;azure_kafkarestproxy.messagesout.m1_delta_minimum;azure_kafkarestproxy.messagesout.m1_delta_total,Number of consumer messages through Kafka REST proxy,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.openconnections_average;azure_kafkarestproxy.openconnections_count;azure_kafkarestproxy.openconnections_maximum;azure_kafkarestproxy.openconnections_minimum;azure_kafkarestproxy.openconnections_total,Number of concurrent connections through Kafka REST proxy,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.producerrequest.m1_delta_average;azure_kafkarestproxy.producerrequest.m1_delta_count;azure_kafkarestproxy.producerrequest.m1_delta_maximum;azure_kafkarestproxy.producerrequest.m1_delta_minimum;azure_kafkarestproxy.producerrequest.m1_delta_total,Number of producer requests to Kafka REST proxy,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.producerrequestfail.m1_delta_average;azure_kafkarestproxy.producerrequestfail.m1_delta_count;azure_kafkarestproxy.producerrequestfail.m1_delta_maximum;azure_kafkarestproxy.producerrequestfail.m1_delta_minimum;azure_kafkarestproxy.producerrequestfail.m1_delta_total,Producer request exceptions,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,total
azure_kafkarestproxy.producerrequesttime.p95_average;azure_kafkarestproxy.producerrequesttime.p95_count;azure_kafkarestproxy.producerrequesttime.p95_maximum;azure_kafkarestproxy.producerrequesttime.p95_minimum;azure_kafkarestproxy.producerrequesttime.p95_total,Message latency in a producer request through Kafka REST proxy,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,average
azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_average;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_count;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_maximum;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_minimum;azure_kafkarestproxy.producerrequestwaitinginqueuetime.p95_total,Producer REST proxy queue length,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_machine;metadata_topic,average
azure_numactiveworkers_average;azure_numactiveworkers_count;azure_numactiveworkers_maximum;azure_numactiveworkers_minimum;azure_numactiveworkers_total,Number of Active Workers,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_metricname,maximum
azure_pendingcpu_average;azure_pendingcpu_count;azure_pendingcpu_maximum;azure_pendingcpu_minimum;azure_pendingcpu_total,Pending CPU Requests in YARN,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_pendingmemory_average;azure_pendingmemory_count;azure_pendingmemory_maximum;azure_pendingmemory_minimum;azure_pendingmemory_total,Pending Memory Requests in YARN,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
