Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_availability_average;azure_availability_count;azure_availability_maximum;azure_availability_minimum;azure_availability_total,The availability rate of the service.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cosmosdbcollectionsize_average;azure_cosmosdbcollectionsize_count;azure_cosmosdbcollectionsize_maximum;azure_cosmosdbcollectionsize_minimum;azure_cosmosdbcollectionsize_total,"The size of the backing Cosmos DB collection, in bytes.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_cosmosdbindexsize_average;azure_cosmosdbindexsize_count;azure_cosmosdbindexsize_maximum;azure_cosmosdbindexsize_minimum;azure_cosmosdbindexsize_total,"The size of the backing Cosmos DB collection's index, in bytes.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_cosmosdbrequestcharge_average;azure_cosmosdbrequestcharge_count;azure_cosmosdbrequestcharge_maximum;azure_cosmosdbrequestcharge_minimum;azure_cosmosdbrequestcharge_total,The RU usage of requests to the service's backing Cosmos DB.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_resourcetype,total
azure_cosmosdbrequests_average;azure_cosmosdbrequests_count;azure_cosmosdbrequests_maximum;azure_cosmosdbrequests_minimum;azure_cosmosdbrequests_total,The total number of requests made to a service's backing Cosmos DB.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_resourcetype,sum
azure_cosmosdbthrottlerate_average;azure_cosmosdbthrottlerate_count;azure_cosmosdbthrottlerate_maximum;azure_cosmosdbthrottlerate_minimum;azure_cosmosdbthrottlerate_total,The total number of 429 responses from a service's backing Cosmos DB.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_resourcetype,sum
azure_iotconnectordeviceevent_average;azure_iotconnectordeviceevent_count;azure_iotconnectordeviceevent_maximum;azure_iotconnectordeviceevent_minimum;azure_iotconnectordeviceevent_total,The total number of messages received by the Azure IoT Connector for FHIR prior to any normalization.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,sum
azure_iotconnectordeviceeventprocessinglatencyms_average;azure_iotconnectordeviceeventprocessinglatencyms_count;azure_iotconnectordeviceeventprocessinglatencyms_maximum;azure_iotconnectordeviceeventprocessinglatencyms_minimum;azure_iotconnectordeviceeventprocessinglatencyms_total,The average time between an event's ingestion time and the time the event is processed for normalization.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,average
azure_iotconnectormeasurement_average;azure_iotconnectormeasurement_count;azure_iotconnectormeasurement_maximum;azure_iotconnectormeasurement_minimum;azure_iotconnectormeasurement_total,The number of normalized value readings received by the FHIR conversion stage of the Azure IoT Connector for FHIR.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,sum
azure_iotconnectormeasurementgroup_average;azure_iotconnectormeasurementgroup_count;azure_iotconnectormeasurementgroup_maximum;azure_iotconnectormeasurementgroup_minimum;azure_iotconnectormeasurementgroup_total,"The total number of unique groupings of measurements across type, device, patient, and configured time period generated by the FHIR conversion stage.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,sum
azure_iotconnectormeasurementingestionlatencyms_average;azure_iotconnectormeasurementingestionlatencyms_count;azure_iotconnectormeasurementingestionlatencyms_maximum;azure_iotconnectormeasurementingestionlatencyms_minimum;azure_iotconnectormeasurementingestionlatencyms_total,The time period between when the IoT Connector received the device data and when the data is processed by the FHIR conversion stage.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,average
azure_iotconnectornormalizedevent_average;azure_iotconnectornormalizedevent_count;azure_iotconnectornormalizedevent_maximum;azure_iotconnectornormalizedevent_minimum;azure_iotconnectornormalizedevent_total,The total number of mapped normalized values outputted from the normalization stage of the the Azure IoT Connector for FHIR.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation;metadata_connectorname,sum
azure_iotconnectortotalerrors_average;azure_iotconnectortotalerrors_count;azure_iotconnectortotalerrors_maximum;azure_iotconnectortotalerrors_minimum;azure_iotconnectortotalerrors_total,The total number of errors logged by the Azure IoT Connector for FHIR,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_name;metadata_operation;metadata_errortype;metadata_errorseverity;metadata_connectorname,sum
azure_totalerrors_average;azure_totalerrors_count;azure_totalerrors_maximum;azure_totalerrors_minimum;azure_totalerrors_total,The total number of internal server errors encountered by the service.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol;metadata_statuscode;metadata_statuscodeclass;metadata_statuscodetext,sum
azure_totallatency_average;azure_totallatency_count;azure_totallatency_maximum;azure_totallatency_minimum;azure_totallatency_total,The response latency of the service.,Milliseconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol,average
azure_totalrequests_average;azure_totalrequests_count;azure_totalrequests_maximum;azure_totalrequests_minimum;azure_totalrequests_total,The total number of requests received by the service.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protocol,sum
