azure_availability_average;azure_availability_count;azure_availability_maximum;azure_availability_minimum;azure_availability_total,Gauge,Percent,The availability rate of the service.,
azure_cosmosdbcollectionsize_average;azure_cosmosdbcollectionsize_count;azure_cosmosdbcollectionsize_maximum;azure_cosmosdbcollectionsize_minimum;azure_cosmosdbcollectionsize_total,Gauge,Bytes,"The size of the backing Cosmos DB collection, in bytes.",
azure_cosmosdbindexsize_average;azure_cosmosdbindexsize_count;azure_cosmosdbindexsize_maximum;azure_cosmosdbindexsize_minimum;azure_cosmosdbindexsize_total,Gauge,Bytes,"The size of the backing Cosmos DB collection's index, in bytes.",
azure_cosmosdbrequestcharge_average;azure_cosmosdbrequestcharge_count;azure_cosmosdbrequestcharge_maximum;azure_cosmosdbrequestcharge_minimum;azure_cosmosdbrequestcharge_total,Gauge,Count,The RU usage of requests to the service's backing Cosmos DB.,
azure_cosmosdbrequests_average;azure_cosmosdbrequests_count;azure_cosmosdbrequests_maximum;azure_cosmosdbrequests_minimum;azure_cosmosdbrequests_total,Gauge,Count,The total number of requests made to a service's backing Cosmos DB.,
azure_cosmosdbthrottlerate_average;azure_cosmosdbthrottlerate_count;azure_cosmosdbthrottlerate_maximum;azure_cosmosdbthrottlerate_minimum;azure_cosmosdbthrottlerate_total,Gauge,Count,The total number of 429 responses from a service's backing Cosmos DB.,
azure_iotconnectordeviceevent_average;azure_iotconnectordeviceevent_count;azure_iotconnectordeviceevent_maximum;azure_iotconnectordeviceevent_minimum;azure_iotconnectordeviceevent_total,Gauge,Count,The total number of messages received by the Azure IoT Connector for FHIR prior to any normalization.,
azure_iotconnectordeviceeventprocessinglatencyms_average;azure_iotconnectordeviceeventprocessinglatencyms_count;azure_iotconnectordeviceeventprocessinglatencyms_maximum;azure_iotconnectordeviceeventprocessinglatencyms_minimum;azure_iotconnectordeviceeventprocessinglatencyms_total,Gauge,Milliseconds,The average time between an event's ingestion time and the time the event is processed for normalization.,
azure_iotconnectormeasurement_average;azure_iotconnectormeasurement_count;azure_iotconnectormeasurement_maximum;azure_iotconnectormeasurement_minimum;azure_iotconnectormeasurement_total,Gauge,Count,The number of normalized value readings received by the FHIR conversion stage of the Azure IoT Connector for FHIR.,
azure_iotconnectormeasurementgroup_average;azure_iotconnectormeasurementgroup_count;azure_iotconnectormeasurementgroup_maximum;azure_iotconnectormeasurementgroup_minimum;azure_iotconnectormeasurementgroup_total,Gauge,Count,"The total number of unique groupings of measurements across type, device, patient, and configured time period generated by the FHIR conversion stage.",
azure_iotconnectormeasurementingestionlatencyms_average;azure_iotconnectormeasurementingestionlatencyms_count;azure_iotconnectormeasurementingestionlatencyms_maximum;azure_iotconnectormeasurementingestionlatencyms_minimum;azure_iotconnectormeasurementingestionlatencyms_total,Gauge,Milliseconds,The time period between when the IoT Connector received the device data and when the data is processed by the FHIR conversion stage.,
azure_iotconnectornormalizedevent_average;azure_iotconnectornormalizedevent_count;azure_iotconnectornormalizedevent_maximum;azure_iotconnectornormalizedevent_minimum;azure_iotconnectornormalizedevent_total,Gauge,Count,The total number of mapped normalized values outputted from the normalization stage of the the Azure IoT Connector for FHIR.,
azure_iotconnectortotalerrors_average;azure_iotconnectortotalerrors_count;azure_iotconnectortotalerrors_maximum;azure_iotconnectortotalerrors_minimum;azure_iotconnectortotalerrors_total,Gauge,Count,The total number of errors logged by the Azure IoT Connector for FHIR,
azure_totalerrors_average;azure_totalerrors_count;azure_totalerrors_maximum;azure_totalerrors_minimum;azure_totalerrors_total,Gauge,Count,The total number of internal server errors encountered by the service.,
azure_totallatency_average;azure_totallatency_count;azure_totallatency_maximum;azure_totallatency_minimum;azure_totallatency_total,Gauge,Milliseconds,The response latency of the service.,
azure_totalrequests_average;azure_totalrequests_count;azure_totalrequests_maximum;azure_totalrequests_minimum;azure_totalrequests_total,Gauge,Count,The total number of requests received by the service.,
