Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_availabilityresults/availabilitypercentage_average;azure_availabilityresults/availabilitypercentage_count;azure_availabilityresults/availabilitypercentage_maximum;azure_availabilityresults/availabilitypercentage_minimum;azure_availabilityresults/availabilitypercentage_total,Percentage of successfully completed availability tests,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_availabilityresult/name;metadata_availabilityresult/location,average
azure_availabilityresults/count_average;azure_availabilityresults/count_count;azure_availabilityresults/count_maximum;azure_availabilityresults/count_minimum;azure_availabilityresults/count_total,Count of availability tests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_availabilityresult/name;metadata_availabilityresult/location;metadata_availabilityresult/success,count
azure_availabilityresults/duration_average;azure_availabilityresults/duration_count;azure_availabilityresults/duration_maximum;azure_availabilityresults/duration_minimum;azure_availabilityresults/duration_total,Availability test duration,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_availabilityresult/name;metadata_availabilityresult/location;metadata_availabilityresult/success,average
azure_browsertimings/networkduration_average;azure_browsertimings/networkduration_count;azure_browsertimings/networkduration_maximum;azure_browsertimings/networkduration_minimum;azure_browsertimings/networkduration_total,Time between user request and network connection. Includes DNS lookup and transport connection.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_browsertimings/processingduration_average;azure_browsertimings/processingduration_count;azure_browsertimings/processingduration_maximum;azure_browsertimings/processingduration_minimum;azure_browsertimings/processingduration_total,Time between receiving the last byte of a document until the DOM is loaded. Async requests may still be processing.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_browsertimings/receiveduration_average;azure_browsertimings/receiveduration_count;azure_browsertimings/receiveduration_maximum;azure_browsertimings/receiveduration_minimum;azure_browsertimings/receiveduration_total,"Time between the first and last bytes, or until disconnection.",MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_browsertimings/sendduration_average;azure_browsertimings/sendduration_count;azure_browsertimings/sendduration_maximum;azure_browsertimings/sendduration_minimum;azure_browsertimings/sendduration_total,Time between network connection and receiving the first byte.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_browsertimings/totalduration_average;azure_browsertimings/totalduration_count;azure_browsertimings/totalduration_maximum;azure_browsertimings/totalduration_minimum;azure_browsertimings/totalduration_total,"Time from user request until DOM, stylesheets, scripts and images are loaded.",MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_dependencies/count_average;azure_dependencies/count_count;azure_dependencies/count_maximum;azure_dependencies/count_minimum;azure_dependencies/count_total,Count of calls made by the application to external resources.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dependency/type;metadata_dependency/performancebucket;metadata_dependency/success;metadata_dependency/target;metadata_dependency/resultcode;metadata_operation/synthetic;metadata_cloud/roleinstance;metadata_cloud/rolename,count
azure_dependencies/duration_average;azure_dependencies/duration_count;azure_dependencies/duration_maximum;azure_dependencies/duration_minimum;azure_dependencies/duration_total,Duration of calls made by the application to external resources.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dependency/type;metadata_dependency/performancebucket;metadata_dependency/success;metadata_dependency/target;metadata_dependency/resultcode;metadata_operation/synthetic;metadata_cloud/roleinstance;metadata_cloud/rolename,average
azure_dependencies/failed_average;azure_dependencies/failed_count;azure_dependencies/failed_maximum;azure_dependencies/failed_minimum;azure_dependencies/failed_total,Count of failed dependency calls made by the application to external resources.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dependency/type;metadata_dependency/performancebucket;metadata_dependency/success;metadata_dependency/target;metadata_dependency/resultcode;metadata_operation/synthetic;metadata_cloud/roleinstance;metadata_cloud/rolename,count
azure_exceptions/browser_average;azure_exceptions/browser_count;azure_exceptions/browser_maximum;azure_exceptions/browser_minimum;azure_exceptions/browser_total,Count of uncaught exceptions thrown in the browser.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_client/isserver;metadata_cloud/rolename,count
azure_exceptions/count_average;azure_exceptions/count_count;azure_exceptions/count_maximum;azure_exceptions/count_minimum;azure_exceptions/count_total,Combined count of all uncaught exceptions.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cloud/rolename;metadata_cloud/roleinstance;metadata_client/type,count
azure_exceptions/server_average;azure_exceptions/server_count;azure_exceptions/server_maximum;azure_exceptions/server_minimum;azure_exceptions/server_total,Count of uncaught exceptions thrown in the server application.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_client/isserver;metadata_cloud/rolename;metadata_cloud/roleinstance,count
azure_pageviews/count_average;azure_pageviews/count_count;azure_pageviews/count_maximum;azure_pageviews/count_minimum;azure_pageviews/count_total,Count of page views.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation/synthetic;metadata_cloud/rolename,count
azure_pageviews/duration_average;azure_pageviews/duration_count;azure_pageviews/duration_maximum;azure_pageviews/duration_minimum;azure_pageviews/duration_total,Page view load time,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_operation/synthetic;metadata_cloud/rolename,average
