azure_availabilityresults/availabilitypercentage_average;azure_availabilityresults/availabilitypercentage_count;azure_availabilityresults/availabilitypercentage_maximum;azure_availabilityresults/availabilitypercentage_minimum;azure_availabilityresults/availabilitypercentage_total,Gauge,Percent,Percentage of successfully completed availability tests,
azure_availabilityresults/count_average;azure_availabilityresults/count_count;azure_availabilityresults/count_maximum;azure_availabilityresults/count_minimum;azure_availabilityresults/count_total,Gauge,Count,Count of availability tests,
azure_availabilityresults/duration_average;azure_availabilityresults/duration_count;azure_availabilityresults/duration_maximum;azure_availabilityresults/duration_minimum;azure_availabilityresults/duration_total,Gauge,MilliSeconds,Availability test duration,
azure_browsertimings/networkduration_average;azure_browsertimings/networkduration_count;azure_browsertimings/networkduration_maximum;azure_browsertimings/networkduration_minimum;azure_browsertimings/networkduration_total,Gauge,MilliSeconds,Time between user request and network connection. Includes DNS lookup and transport connection.,
azure_browsertimings/processingduration_average;azure_browsertimings/processingduration_count;azure_browsertimings/processingduration_maximum;azure_browsertimings/processingduration_minimum;azure_browsertimings/processingduration_total,Gauge,MilliSeconds,Time between receiving the last byte of a document until the DOM is loaded. Async requests may still be processing.,
azure_browsertimings/receiveduration_average;azure_browsertimings/receiveduration_count;azure_browsertimings/receiveduration_maximum;azure_browsertimings/receiveduration_minimum;azure_browsertimings/receiveduration_total,Gauge,MilliSeconds,"Time between the first and last bytes, or until disconnection.",
azure_browsertimings/sendduration_average;azure_browsertimings/sendduration_count;azure_browsertimings/sendduration_maximum;azure_browsertimings/sendduration_minimum;azure_browsertimings/sendduration_total,Gauge,MilliSeconds,Time between network connection and receiving the first byte.,
azure_browsertimings/totalduration_average;azure_browsertimings/totalduration_count;azure_browsertimings/totalduration_maximum;azure_browsertimings/totalduration_minimum;azure_browsertimings/totalduration_total,Gauge,MilliSeconds,"Time from user request until DOM, stylesheets, scripts and images are loaded.",
azure_dependencies/count_average;azure_dependencies/count_count;azure_dependencies/count_maximum;azure_dependencies/count_minimum;azure_dependencies/count_total,Gauge,Count,Count of calls made by the application to external resources.,
azure_dependencies/duration_average;azure_dependencies/duration_count;azure_dependencies/duration_maximum;azure_dependencies/duration_minimum;azure_dependencies/duration_total,Gauge,MilliSeconds,Duration of calls made by the application to external resources.,
azure_dependencies/failed_average;azure_dependencies/failed_count;azure_dependencies/failed_maximum;azure_dependencies/failed_minimum;azure_dependencies/failed_total,Gauge,Count,Count of failed dependency calls made by the application to external resources.,
