Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_c2d.commands.failure_average;azure_c2d.commands.failure_count;azure_c2d.commands.failure_maximum;azure_c2d.commands.failure_minimum;azure_c2d.commands.failure_total,The count of all failed command requests initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.commands.requestsize_average;azure_c2d.commands.requestsize_count;azure_c2d.commands.requestsize_maximum;azure_c2d.commands.requestsize_minimum;azure_c2d.commands.requestsize_total,Request size of all command requests initiated from IoT Central,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.commands.responsesize_average;azure_c2d.commands.responsesize_count;azure_c2d.commands.responsesize_maximum;azure_c2d.commands.responsesize_minimum;azure_c2d.commands.responsesize_total,Response size of all command responses initiated from IoT Central,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.commands.success_average;azure_c2d.commands.success_count;azure_c2d.commands.success_maximum;azure_c2d.commands.success_minimum;azure_c2d.commands.success_total,The count of all successful command requests initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.property.read.failure_average;azure_c2d.property.read.failure_count;azure_c2d.property.read.failure_maximum;azure_c2d.property.read.failure_minimum;azure_c2d.property.read.failure_total,The count of all failed property reads initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.property.read.success_average;azure_c2d.property.read.success_count;azure_c2d.property.read.success_maximum;azure_c2d.property.read.success_minimum;azure_c2d.property.read.success_total,The count of all successful property reads initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.property.update.failure_average;azure_c2d.property.update.failure_count;azure_c2d.property.update.failure_maximum;azure_c2d.property.update.failure_minimum;azure_c2d.property.update.failure_total,The count of all failed property updates initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_c2d.property.update.success_average;azure_c2d.property.update.success_count;azure_c2d.property.update.success_maximum;azure_c2d.property.update.success_minimum;azure_c2d.property.update.success_total,The count of all successful property updates initiated from IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_connecteddevicecount_average;azure_connecteddevicecount_count;azure_connecteddevicecount_maximum;azure_connecteddevicecount_minimum;azure_connecteddevicecount_total,Number of devices connected to IoT Central,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_d2c.property.read.failure_average;azure_d2c.property.read.failure_count;azure_d2c.property.read.failure_maximum;azure_d2c.property.read.failure_minimum;azure_d2c.property.read.failure_total,The count of all failed property reads initiated from devices,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_d2c.property.read.success_average;azure_d2c.property.read.success_count;azure_d2c.property.read.success_maximum;azure_d2c.property.read.success_minimum;azure_d2c.property.read.success_total,The count of all successful property reads initiated from devices,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_d2c.property.update.failure_average;azure_d2c.property.update.failure_count;azure_d2c.property.update.failure_maximum;azure_d2c.property.update.failure_minimum;azure_d2c.property.update.failure_total,The count of all failed property updates initiated from devices,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_d2c.property.update.success_average;azure_d2c.property.update.success_count;azure_d2c.property.update.success_maximum;azure_d2c.property.update.success_minimum;azure_d2c.property.update.success_total,The count of all successful property updates initiated from devices,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_d2c.telemetry.ingress.allprotocol_average;azure_d2c.telemetry.ingress.allprotocol_count;azure_d2c.telemetry.ingress.allprotocol_maximum;azure_d2c.telemetry.ingress.allprotocol_minimum;azure_d2c.telemetry.ingress.allprotocol_total,Number of device-to-cloud telemetry messages attempted to be sent to the IoT Central application,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_d2c.telemetry.ingress.success_average;azure_d2c.telemetry.ingress.success_count;azure_d2c.telemetry.ingress.success_maximum;azure_d2c.telemetry.ingress.success_minimum;azure_d2c.telemetry.ingress.success_total,Number of device-to-cloud telemetry messages successfully sent to the IoT Central application,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_dataexport.error_average;azure_dataexport.error_count;azure_dataexport.error_maximum;azure_dataexport.error_minimum;azure_dataexport.error_total,Number of errors encountered for data export,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_exportid;metadata_exportdisplayname;metadata_destinationid;metadata_destinationdisplayname,total
