Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_actionlatency_average;azure_actionlatency_count;azure_actionlatency_maximum;azure_actionlatency_minimum;azure_actionlatency_total,Latency of completed workflow actions.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_actionscompleted_average;azure_actionscompleted_count;azure_actionscompleted_maximum;azure_actionscompleted_minimum;azure_actionscompleted_total,Number of workflow actions completed.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_actionsfailed_average;azure_actionsfailed_count;azure_actionsfailed_maximum;azure_actionsfailed_minimum;azure_actionsfailed_total,Number of workflow actions failed.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_actionsskipped_average;azure_actionsskipped_count;azure_actionsskipped_maximum;azure_actionsskipped_minimum;azure_actionsskipped_total,Number of workflow actions skipped.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_actionsstarted_average;azure_actionsstarted_count;azure_actionsstarted_maximum;azure_actionsstarted_minimum;azure_actionsstarted_total,Number of workflow actions started.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_actionssucceeded_average;azure_actionssucceeded_count;azure_actionssucceeded_maximum;azure_actionssucceeded_minimum;azure_actionssucceeded_total,Number of workflow actions succeeded.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_actionsuccesslatency_average;azure_actionsuccesslatency_count;azure_actionsuccesslatency_maximum;azure_actionsuccesslatency_minimum;azure_actionsuccesslatency_total,Latency of succeeded workflow actions.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_integrationserviceenvironmentconnectormemoryusage_average;azure_integrationserviceenvironmentconnectormemoryusage_count;azure_integrationserviceenvironmentconnectormemoryusage_maximum;azure_integrationserviceenvironmentconnectormemoryusage_minimum;azure_integrationserviceenvironmentconnectormemoryusage_total,Connector memory usage for integration service environment.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_integrationserviceenvironmentconnectorprocessorusage_average;azure_integrationserviceenvironmentconnectorprocessorusage_count;azure_integrationserviceenvironmentconnectorprocessorusage_maximum;azure_integrationserviceenvironmentconnectorprocessorusage_minimum;azure_integrationserviceenvironmentconnectorprocessorusage_total,Connector processor usage for integration service environment.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_integrationserviceenvironmentworkflowmemoryusage_average;azure_integrationserviceenvironmentworkflowmemoryusage_count;azure_integrationserviceenvironmentworkflowmemoryusage_maximum;azure_integrationserviceenvironmentworkflowmemoryusage_minimum;azure_integrationserviceenvironmentworkflowmemoryusage_total,Workflow memory usage for integration service environment.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_integrationserviceenvironmentworkflowprocessorusage_average;azure_integrationserviceenvironmentworkflowprocessorusage_count;azure_integrationserviceenvironmentworkflowprocessorusage_maximum;azure_integrationserviceenvironmentworkflowprocessorusage_minimum;azure_integrationserviceenvironmentworkflowprocessorusage_total,Workflow processor usage for integration service environment.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_runlatency_average;azure_runlatency_count;azure_runlatency_maximum;azure_runlatency_minimum;azure_runlatency_total,Latency of completed workflow runs.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_runscancelled_average;azure_runscancelled_count;azure_runscancelled_maximum;azure_runscancelled_minimum;azure_runscancelled_total,Number of workflow runs cancelled.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
