azure_active_cores_average;azure_active_cores_count;azure_active_cores_maximum;azure_active_cores_minimum;azure_active_cores_total,Gauge,Count,Number of active cores,
azure_active_nodes_average;azure_active_nodes_count;azure_active_nodes_maximum;azure_active_nodes_minimum;azure_active_nodes_total,Gauge,Count,Number of Acitve nodes. These are the nodes which are actively running a job.,
azure_cancel_requested_runs_average;azure_cancel_requested_runs_count;azure_cancel_requested_runs_maximum;azure_cancel_requested_runs_minimum;azure_cancel_requested_runs_total,Gauge,Count,Number of runs where cancel was requested for this workspace. Count is updated when cancellation request has been received for a run.,
azure_cancelled_runs_average;azure_cancelled_runs_count;azure_cancelled_runs_maximum;azure_cancelled_runs_minimum;azure_cancelled_runs_total,Gauge,Count,Number of runs cancelled for this workspace. Count is updated when a run is successfully cancelled.,
azure_completed_runs_average;azure_completed_runs_count;azure_completed_runs_maximum;azure_completed_runs_minimum;azure_completed_runs_total,Gauge,Count,Number of runs completed successfully for this workspace. Count is updated when a run has completed and output has been collected.,
azure_cpucapacitymillicores_average;azure_cpucapacitymillicores_count;azure_cpucapacitymillicores_maximum;azure_cpucapacitymillicores_minimum;azure_cpucapacitymillicores_total,Gauge,Count,Maximum capacity of a CPU node in millicores. Capacity is aggregated in one minute intervals.,
azure_cpumemorycapacitymegabytes_average;azure_cpumemorycapacitymegabytes_count;azure_cpumemorycapacitymegabytes_maximum;azure_cpumemorycapacitymegabytes_minimum;azure_cpumemorycapacitymegabytes_total,Gauge,Count,Maximum memory utilization of a CPU node in megabytes. Utilization is aggregated in one minute intervals.,
azure_cpumemoryutilizationmegabytes_average;azure_cpumemoryutilizationmegabytes_count;azure_cpumemoryutilizationmegabytes_maximum;azure_cpumemoryutilizationmegabytes_minimum;azure_cpumemoryutilizationmegabytes_total,Gauge,Count,Memory utilization of a CPU node in megabytes. Utilization is aggregated in one minute intervals.,
azure_cpumemoryutilizationpercentage_average;azure_cpumemoryutilizationpercentage_count;azure_cpumemoryutilizationpercentage_maximum;azure_cpumemoryutilizationpercentage_minimum;azure_cpumemoryutilizationpercentage_total,Gauge,Count,Memory utilization percentage of a CPU node. Utilization is aggregated in one minute intervals.,
azure_cpuutilization_average;azure_cpuutilization_count;azure_cpuutilization_maximum;azure_cpuutilization_minimum;azure_cpuutilization_total,Gauge,Count,Percentage of utilization on a CPU node. Utilization is reported at one minute intervals.,
azure_cpuutilizationmillicores_average;azure_cpuutilizationmillicores_count;azure_cpuutilizationmillicores_maximum;azure_cpuutilizationmillicores_minimum;azure_cpuutilizationmillicores_total,Gauge,Count,Utilization of a CPU node in millicores. Utilization is aggregated in one minute intervals.,
