azure_connectionsactive_average;azure_connectionsactive_count;azure_connectionsactive_maximum;azure_connectionsactive_minimum;azure_connectionsactive_total,Gauge,Count,The total number of concurrent TCP connections active from clients.,
azure_datacollectionerrorsperminute_average;azure_datacollectionerrorsperminute_count;azure_datacollectionerrorsperminute_maximum;azure_datacollectionerrorsperminute_minimum;azure_datacollectionerrorsperminute_total,Gauge,Count,The number of data collection events dropped per minute.,
azure_datacollectioneventsperminute_average;azure_datacollectioneventsperminute_count;azure_datacollectioneventsperminute_maximum;azure_datacollectioneventsperminute_minimum;azure_datacollectioneventsperminute_total,Gauge,Count,The number of data collection events processed per minute.,
azure_networkbytes_average;azure_networkbytes_count;azure_networkbytes_maximum;azure_networkbytes_minimum;azure_networkbytes_total,Gauge,BytesPerSecond,The bytes per second served for the endpoint.,
azure_newconnectionspersecond_average;azure_newconnectionspersecond_count;azure_newconnectionspersecond_maximum;azure_newconnectionspersecond_minimum;azure_newconnectionspersecond_total,Gauge,CountPerSecond,The average number of new TCP connections per second established from clients.,
azure_requestlatency_average;azure_requestlatency_count;azure_requestlatency_maximum;azure_requestlatency_minimum;azure_requestlatency_total,Gauge,Milliseconds,The average complete interval of time taken for a request to be responded in milliseconds,
azure_requestlatency_p50_average;azure_requestlatency_p50_count;azure_requestlatency_p50_maximum;azure_requestlatency_p50_minimum;azure_requestlatency_p50_total,Gauge,Milliseconds,The average P50 request latency aggregated by all request latency values collected over the selected time period,
azure_requestlatency_p90_average;azure_requestlatency_p90_count;azure_requestlatency_p90_maximum;azure_requestlatency_p90_minimum;azure_requestlatency_p90_total,Gauge,Milliseconds,The average P90 request latency aggregated by all request latency values collected over the selected time period,
azure_requestlatency_p95_average;azure_requestlatency_p95_count;azure_requestlatency_p95_maximum;azure_requestlatency_p95_minimum;azure_requestlatency_p95_total,Gauge,Milliseconds,The average P95 request latency aggregated by all request latency values collected over the selected time period,
azure_requestlatency_p99_average;azure_requestlatency_p99_count;azure_requestlatency_p99_maximum;azure_requestlatency_p99_minimum;azure_requestlatency_p99_total,Gauge,Milliseconds,The average P99 request latency aggregated by all request latency values collected over the selected time period,
azure_requestsperminute_average;azure_requestsperminute_count;azure_requestsperminute_maximum;azure_requestsperminute_minimum;azure_requestsperminute_total,Gauge,Count,The number of requests sent to online endpoint within a minute,
