Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_aclmatchedpackets_average;azure_aclmatchedpackets_count;azure_aclmatchedpackets_maximum;azure_aclmatchedpackets_minimum;azure_aclmatchedpackets_total,Count of the number of packets matching the current ACL entry.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_aclsetname;metadata_aclentrysequenceid;metadata_aclsettype,average
azure_bgppeerstatus_average;azure_bgppeerstatus_count;azure_bgppeerstatus_maximum;azure_bgppeerstatus_minimum;azure_bgppeerstatus_total,"Operational state of the BGP peer. State is represented in numerical form. Idle : 1, Connect : 2, Active : 3, Opensent : 4, Openconfirm : 5, Established : 6",Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_ipaddress,minimum
azure_componentoperstatus_average;azure_componentoperstatus_count;azure_componentoperstatus_maximum;azure_componentoperstatus_minimum;azure_componentoperstatus_total,The current operational status of the component.,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,minimum
azure_cpuutilizationmax_average;azure_cpuutilizationmax_count;azure_cpuutilizationmax_maximum;azure_cpuutilizationmax_minimum;azure_cpuutilizationmax_total,Max cpu utilization. The maximum value of the percentage measure of the statistic over the time interval.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_cpuutilizationmin_average;azure_cpuutilizationmin_count;azure_cpuutilizationmin_maximum;azure_cpuutilizationmin_minimum;azure_cpuutilizationmin_total,Min cpu utilization. The minimum value of the percentage measure of the statistic over the time interval.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_fanspeed_average;azure_fanspeed_count;azure_fanspeed_maximum;azure_fanspeed_minimum;azure_fanspeed_total,Current fan speed.,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_ifethincrcerrors_average;azure_ifethincrcerrors_count;azure_ifethincrcerrors_maximum;azure_ifethincrcerrors_minimum;azure_ifethincrcerrors_total,"The total number of frames received that had a length (excluding framing bits, but including FCS octets) of between 64 and 1518 octets, inclusive, but had either a bad Frame Check Sequence (FCS) with an integral number of octets (FCS Error) or a bad FCS with a non-integral number of octets (Alignment Error)",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifethinfragmentframes_average;azure_ifethinfragmentframes_count;azure_ifethinfragmentframes_maximum;azure_ifethinfragmentframes_minimum;azure_ifethinfragmentframes_total,The total number of frames received that were less than 64 octets in length (excluding framing bits but including FCS octets) and had either a bad Frame Check Sequence (FCS) with an integral number of octets (FCS Error) or a bad FCS with a non-integral number of octets (Alignment Error).,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifethinjabberframes_average;azure_ifethinjabberframes_count;azure_ifethinjabberframes_maximum;azure_ifethinjabberframes_minimum;azure_ifethinjabberframes_total,Number of jabber frames received on the interface. Jabber frames are typically defined as oversize frames which also have a bad CRC.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifethinmaccontrolframes_average;azure_ifethinmaccontrolframes_count;azure_ifethinmaccontrolframes_maximum;azure_ifethinmaccontrolframes_minimum;azure_ifethinmaccontrolframes_total,MAC layer control frames received on the interface,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifethinmacpauseframes_average;azure_ifethinmacpauseframes_count;azure_ifethinmacpauseframes_maximum;azure_ifethinmacpauseframes_minimum;azure_ifethinmacpauseframes_total,MAC layer PAUSE frames received on the interface,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
