Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_assetcount_average;azure_assetcount_count;azure_assetcount_maximum;azure_assetcount_minimum;azure_assetcount_total,How many assets are already created in current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_assetquota_average;azure_assetquota_count;azure_assetquota_maximum;azure_assetquota_minimum;azure_assetquota_total,How many assets are allowed for current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_assetquotausedpercentage_average;azure_assetquotausedpercentage_count;azure_assetquotausedpercentage_maximum;azure_assetquotausedpercentage_minimum;azure_assetquotausedpercentage_total,Asset used percentage in current media service account,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_channelsandliveeventscount_average;azure_channelsandliveeventscount_count;azure_channelsandliveeventscount_maximum;azure_channelsandliveeventscount_minimum;azure_channelsandliveeventscount_total,The total number of live events in the current media services account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_contentkeypolicycount_average;azure_contentkeypolicycount_count;azure_contentkeypolicycount_maximum;azure_contentkeypolicycount_minimum;azure_contentkeypolicycount_total,How many content key policies are already created in current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_contentkeypolicyquota_average;azure_contentkeypolicyquota_count;azure_contentkeypolicyquota_maximum;azure_contentkeypolicyquota_minimum;azure_contentkeypolicyquota_total,How many content key polices are allowed for current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_contentkeypolicyquotausedpercentage_average;azure_contentkeypolicyquotausedpercentage_count;azure_contentkeypolicyquotausedpercentage_maximum;azure_contentkeypolicyquotausedpercentage_minimum;azure_contentkeypolicyquotausedpercentage_total,Content Key Policy used percentage in current media service account,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_jobquota_average;azure_jobquota_count;azure_jobquota_maximum;azure_jobquota_minimum;azure_jobquota_total,The Job quota for the current media service account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_jobsscheduled_average;azure_jobsscheduled_count;azure_jobsscheduled_maximum;azure_jobsscheduled_minimum;azure_jobsscheduled_total,The number of Jobs in the Scheduled state. Counts on this metric only reflect jobs submitted through the v3 API. Jobs submitted through the v2 (Legacy) API are not counted.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_keydeliveryrequests_average;azure_keydeliveryrequests_count;azure_keydeliveryrequests_maximum;azure_keydeliveryrequests_minimum;azure_keydeliveryrequests_total,The key delivery request status and latency in milliseconds for the current Media Service account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_keytype;metadata_httpstatuscode,average
azure_maxchannelsandliveeventscount_average;azure_maxchannelsandliveeventscount_count;azure_maxchannelsandliveeventscount_maximum;azure_maxchannelsandliveeventscount_minimum;azure_maxchannelsandliveeventscount_total,The maximum number of live events allowed in the current media services account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_maxrunningchannelsandliveeventscount_average;azure_maxrunningchannelsandliveeventscount_count;azure_maxrunningchannelsandliveeventscount_maximum;azure_maxrunningchannelsandliveeventscount_minimum;azure_maxrunningchannelsandliveeventscount_total,The maximum number of running live events allowed in the current media services account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_runningchannelsandliveeventscount_average;azure_runningchannelsandliveeventscount_count;azure_runningchannelsandliveeventscount_maximum;azure_runningchannelsandliveeventscount_minimum;azure_runningchannelsandliveeventscount_total,The total number of running live events in the current media services account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_streamingpolicycount_average;azure_streamingpolicycount_count;azure_streamingpolicycount_maximum;azure_streamingpolicycount_minimum;azure_streamingpolicycount_total,How many streaming policies are already created in current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_streamingpolicyquota_average;azure_streamingpolicyquota_count;azure_streamingpolicyquota_maximum;azure_streamingpolicyquota_minimum;azure_streamingpolicyquota_total,How many streaming policies are allowed for current media service account,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_streamingpolicyquotausedpercentage_average;azure_streamingpolicyquotausedpercentage_count;azure_streamingpolicyquotausedpercentage_maximum;azure_streamingpolicyquotausedpercentage_minimum;azure_streamingpolicyquotausedpercentage_total,Streaming Policy used percentage in current media service account,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_transformquota_average;azure_transformquota_count;azure_transformquota_maximum;azure_transformquota_minimum;azure_transformquota_total,The Transform quota for the current media service account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
