azure_ergatewayconnectionbitsinpersecond_average;azure_ergatewayconnectionbitsinpersecond_count;azure_ergatewayconnectionbitsinpersecond_maximum;azure_ergatewayconnectionbitsinpersecond_minimum;azure_ergatewayconnectionbitsinpersecond_total,Gauge,BitsPerSecond,Bits per second ingressing Azure via ExpressRoute Gateway which can be further split for specific connections,
azure_ergatewayconnectionbitsoutpersecond_average;azure_ergatewayconnectionbitsoutpersecond_count;azure_ergatewayconnectionbitsoutpersecond_maximum;azure_ergatewayconnectionbitsoutpersecond_minimum;azure_ergatewayconnectionbitsoutpersecond_total,Gauge,BitsPerSecond,Bits per second egressing Azure via ExpressRoute Gateway which can be further split for specific connections,
azure_expressroutegatewayactiveflows_average;azure_expressroutegatewayactiveflows_count;azure_expressroutegatewayactiveflows_maximum;azure_expressroutegatewayactiveflows_minimum;azure_expressroutegatewayactiveflows_total,Gauge,Count,Number of Active Flows on ExpressRoute Gateway,
azure_expressroutegatewaybitspersecond_average;azure_expressroutegatewaybitspersecond_count;azure_expressroutegatewaybitspersecond_maximum;azure_expressroutegatewaybitspersecond_minimum;azure_expressroutegatewaybitspersecond_total,Gauge,BitsPerSecond,Total Bits received on ExpressRoute Gateway per second,
azure_expressroutegatewaycountofroutesadvertisedtopeer_average;azure_expressroutegatewaycountofroutesadvertisedtopeer_count;azure_expressroutegatewaycountofroutesadvertisedtopeer_maximum;azure_expressroutegatewaycountofroutesadvertisedtopeer_minimum;azure_expressroutegatewaycountofroutesadvertisedtopeer_total,Gauge,Count,Count Of Routes Advertised To Peer by ExpressRoute Gateway,
azure_expressroutegatewaycountofrouteslearnedfrompeer_average;azure_expressroutegatewaycountofrouteslearnedfrompeer_count;azure_expressroutegatewaycountofrouteslearnedfrompeer_maximum;azure_expressroutegatewaycountofrouteslearnedfrompeer_minimum;azure_expressroutegatewaycountofrouteslearnedfrompeer_total,Gauge,Count,Count Of Routes Learned From Peer by ExpressRoute Gateway,
azure_expressroutegatewaycpuutilization_average;azure_expressroutegatewaycpuutilization_count;azure_expressroutegatewaycpuutilization_maximum;azure_expressroutegatewaycpuutilization_minimum;azure_expressroutegatewaycpuutilization_total,Gauge,Percent,CPU Utilization of the ExpressRoute Gateway,
azure_expressroutegatewayfrequencyofrouteschanged_average;azure_expressroutegatewayfrequencyofrouteschanged_count;azure_expressroutegatewayfrequencyofrouteschanged_maximum;azure_expressroutegatewayfrequencyofrouteschanged_minimum;azure_expressroutegatewayfrequencyofrouteschanged_total,Gauge,Count,Frequency of Routes change in ExpressRoute Gateway,
azure_expressroutegatewaymaxflowscreationrate_average;azure_expressroutegatewaymaxflowscreationrate_count;azure_expressroutegatewaymaxflowscreationrate_maximum;azure_expressroutegatewaymaxflowscreationrate_minimum;azure_expressroutegatewaymaxflowscreationrate_total,Gauge,CountPerSecond,Maximum Number of Flows Created Per Second on ExpressRoute Gateway,
azure_expressroutegatewaynumberofvminvnet_average;azure_expressroutegatewaynumberofvminvnet_count;azure_expressroutegatewaynumberofvminvnet_maximum;azure_expressroutegatewaynumberofvminvnet_minimum;azure_expressroutegatewaynumberofvminvnet_total,Gauge,Count,Number of VMs in the Virtual Network,
azure_expressroutegatewaypacketspersecond_average;azure_expressroutegatewaypacketspersecond_count;azure_expressroutegatewaypacketspersecond_maximum;azure_expressroutegatewaypacketspersecond_minimum;azure_expressroutegatewaypacketspersecond_total,Gauge,CountPerSecond,Total Packets received on ExpressRoute Gateway per second,
