azure_averagebandwidth_average;azure_averagebandwidth_count;azure_averagebandwidth_maximum;azure_averagebandwidth_minimum;azure_averagebandwidth_total,Gauge,BytesPerSecond,Site-to-site bandwidth of a gateway in bytes per second,
azure_bgppeerstatus_average;azure_bgppeerstatus_count;azure_bgppeerstatus_maximum;azure_bgppeerstatus_minimum;azure_bgppeerstatus_total,Gauge,Count,Status of BGP peer,
azure_bgproutesadvertised_average;azure_bgproutesadvertised_count;azure_bgproutesadvertised_maximum;azure_bgproutesadvertised_minimum;azure_bgproutesadvertised_total,Gauge,Count,Count of Bgp Routes Advertised through tunnel,
azure_bgprouteslearned_average;azure_bgprouteslearned_count;azure_bgprouteslearned_maximum;azure_bgprouteslearned_minimum;azure_bgprouteslearned_total,Gauge,Count,Count of Bgp Routes Learned through tunnel,
azure_expressroutegatewayactiveflows_average;azure_expressroutegatewayactiveflows_count;azure_expressroutegatewayactiveflows_maximum;azure_expressroutegatewayactiveflows_minimum;azure_expressroutegatewayactiveflows_total,Gauge,Count,Number of Active Flows on ExpressRoute Gateway,
azure_expressroutegatewaybitspersecond_average;azure_expressroutegatewaybitspersecond_count;azure_expressroutegatewaybitspersecond_maximum;azure_expressroutegatewaybitspersecond_minimum;azure_expressroutegatewaybitspersecond_total,Gauge,BitsPerSecond,Total Bits received on ExpressRoute Gateway per second,
azure_expressroutegatewaycountofroutesadvertisedtopeer_average;azure_expressroutegatewaycountofroutesadvertisedtopeer_count;azure_expressroutegatewaycountofroutesadvertisedtopeer_maximum;azure_expressroutegatewaycountofroutesadvertisedtopeer_minimum;azure_expressroutegatewaycountofroutesadvertisedtopeer_total,Gauge,Count,Count Of Routes Advertised To Peer by ExpressRoute Gateway,
azure_expressroutegatewaycountofrouteslearnedfrompeer_average;azure_expressroutegatewaycountofrouteslearnedfrompeer_count;azure_expressroutegatewaycountofrouteslearnedfrompeer_maximum;azure_expressroutegatewaycountofrouteslearnedfrompeer_minimum;azure_expressroutegatewaycountofrouteslearnedfrompeer_total,Gauge,Count,Count Of Routes Learned From Peer by ExpressRoute Gateway,
azure_expressroutegatewaycpuutilization_average;azure_expressroutegatewaycpuutilization_count;azure_expressroutegatewaycpuutilization_maximum;azure_expressroutegatewaycpuutilization_minimum;azure_expressroutegatewaycpuutilization_total,Gauge,Percent,CPU Utilization of the ExpressRoute Gateway,
azure_expressroutegatewayfrequencyofrouteschanged_average;azure_expressroutegatewayfrequencyofrouteschanged_count;azure_expressroutegatewayfrequencyofrouteschanged_maximum;azure_expressroutegatewayfrequencyofrouteschanged_minimum;azure_expressroutegatewayfrequencyofrouteschanged_total,Gauge,Count,Frequency of Routes change in ExpressRoute Gateway,
azure_expressroutegatewaymaxflowscreationrate_average;azure_expressroutegatewaymaxflowscreationrate_count;azure_expressroutegatewaymaxflowscreationrate_maximum;azure_expressroutegatewaymaxflowscreationrate_minimum;azure_expressroutegatewaymaxflowscreationrate_total,Gauge,CountPerSecond,Maximum Number of Flows Created Per Second on ExpressRoute Gateway,
azure_expressroutegatewaynumberofvminvnet_average;azure_expressroutegatewaynumberofvminvnet_count;azure_expressroutegatewaynumberofvminvnet_maximum;azure_expressroutegatewaynumberofvminvnet_minimum;azure_expressroutegatewaynumberofvminvnet_total,Gauge,Count,Number of VMs in the Virtual Network,
azure_expressroutegatewaypacketspersecond_average;azure_expressroutegatewaypacketspersecond_count;azure_expressroutegatewaypacketspersecond_maximum;azure_expressroutegatewaypacketspersecond_minimum;azure_expressroutegatewaypacketspersecond_total,Gauge,CountPerSecond,Total Packets received on ExpressRoute Gateway per second,
azure_mmsacount_average;azure_mmsacount_count;azure_mmsacount_maximum;azure_mmsacount_minimum;azure_mmsacount_total,Gauge,Count,MMSA Count,
azure_p2sbandwidth_average;azure_p2sbandwidth_count;azure_p2sbandwidth_maximum;azure_p2sbandwidth_minimum;azure_p2sbandwidth_total,Gauge,BytesPerSecond,Point-to-site bandwidth of a gateway in bytes per second,
azure_p2sconnectioncount_average;azure_p2sconnectioncount_count;azure_p2sconnectioncount_maximum;azure_p2sconnectioncount_minimum;azure_p2sconnectioncount_total,Gauge,Count,Point-to-site connection count of a gateway,
azure_qmsacount_average;azure_qmsacount_count;azure_qmsacount_maximum;azure_qmsacount_minimum;azure_qmsacount_total,Gauge,Count,QMSA Count,
azure_tunnelaveragebandwidth_average;azure_tunnelaveragebandwidth_count;azure_tunnelaveragebandwidth_maximum;azure_tunnelaveragebandwidth_minimum;azure_tunnelaveragebandwidth_total,Gauge,BytesPerSecond,Average bandwidth of a tunnel in bytes per second,
azure_tunnelegressbytes_average;azure_tunnelegressbytes_count;azure_tunnelegressbytes_maximum;azure_tunnelegressbytes_minimum;azure_tunnelegressbytes_total,Gauge,Bytes,Outgoing bytes of a tunnel,
azure_tunnelegresspacketdropcount_average;azure_tunnelegresspacketdropcount_count;azure_tunnelegresspacketdropcount_maximum;azure_tunnelegresspacketdropcount_minimum;azure_tunnelegresspacketdropcount_total,Gauge,Count,Count of outgoing packets dropped by tunnel,
azure_tunnelegresspacketdroptsmismatch_average;azure_tunnelegresspacketdroptsmismatch_count;azure_tunnelegresspacketdroptsmismatch_maximum;azure_tunnelegresspacketdroptsmismatch_minimum;azure_tunnelegresspacketdroptsmismatch_total,Gauge,Count,Outgoing packet drop count from traffic selector mismatch of a tunnel,
