Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_bytesdroppedddos_average;azure_bytesdroppedddos_count;azure_bytesdroppedddos_maximum;azure_bytesdroppedddos_minimum;azure_bytesdroppedddos_total,Inbound bytes dropped DDoS,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_bytesforwardedddos_average;azure_bytesforwardedddos_count;azure_bytesforwardedddos_maximum;azure_bytesforwardedddos_minimum;azure_bytesforwardedddos_total,Inbound bytes forwarded DDoS,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_bytesinddos_average;azure_bytesinddos_count;azure_bytesinddos_maximum;azure_bytesinddos_minimum;azure_bytesinddos_total,Inbound bytes DDoS,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_ddostriggersynpackets_average;azure_ddostriggersynpackets_count;azure_ddostriggersynpackets_maximum;azure_ddostriggersynpackets_minimum;azure_ddostriggersynpackets_total,Inbound SYN packets to trigger DDoS mitigation,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_ddostriggertcppackets_average;azure_ddostriggertcppackets_count;azure_ddostriggertcppackets_maximum;azure_ddostriggertcppackets_minimum;azure_ddostriggertcppackets_total,Inbound TCP packets to trigger DDoS mitigation,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_ddostriggerudppackets_average;azure_ddostriggerudppackets_count;azure_ddostriggerudppackets_maximum;azure_ddostriggerudppackets_minimum;azure_ddostriggerudppackets_total,Inbound UDP packets to trigger DDoS mitigation,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_ifunderddosattack_average;azure_ifunderddosattack_count;azure_ifunderddosattack_maximum;azure_ifunderddosattack_minimum;azure_ifunderddosattack_total,Under DDoS attack or not,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_packetsdroppedddos_average;azure_packetsdroppedddos_count;azure_packetsdroppedddos_maximum;azure_packetsdroppedddos_minimum;azure_packetsdroppedddos_total,Inbound packets dropped DDoS,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_packetsforwardedddos_average;azure_packetsforwardedddos_count;azure_packetsforwardedddos_maximum;azure_packetsforwardedddos_minimum;azure_packetsforwardedddos_total,Inbound packets forwarded DDoS,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
azure_packetsinddos_average;azure_packetsinddos_count;azure_packetsinddos_maximum;azure_packetsinddos_minimum;azure_packetsinddos_total,Inbound packets DDoS,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_protectedipaddress,maximum
