Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_hostboottimeseconds_average;azure_hostboottimeseconds_count;azure_hostboottimeseconds_maximum;azure_hostboottimeseconds_minimum;azure_hostboottimeseconds_total,Unix time of last boot,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_hostdiskreadcompleted_average;azure_hostdiskreadcompleted_count;azure_hostdiskreadcompleted_maximum;azure_hostdiskreadcompleted_minimum;azure_hostdiskreadcompleted_total,Disk reads completed by node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_host,average
azure_hostdiskreadseconds_average;azure_hostdiskreadseconds_count;azure_hostdiskreadseconds_maximum;azure_hostdiskreadseconds_minimum;azure_hostdiskreadseconds_total,Disk read time by node,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_host,average
azure_hostdiskwritecompleted_average;azure_hostdiskwritecompleted_count;azure_hostdiskwritecompleted_maximum;azure_hostdiskwritecompleted_minimum;azure_hostdiskwritecompleted_total,Disk writes completed by node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_host,average
azure_hostdiskwriteseconds_average;azure_hostdiskwriteseconds_count;azure_hostdiskwriteseconds_maximum;azure_hostdiskwriteseconds_minimum;azure_hostdiskwriteseconds_total,Disk write time by node,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_host,average
azure_hostdmiinfo_average;azure_hostdmiinfo_count;azure_hostdmiinfo_maximum;azure_hostdmiinfo_minimum;azure_hostdmiinfo_total,Host Desktop Management Interface (DMI) environment information,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_biosdate;metadata_biosrelease;metadata_biosvendor;metadata_biosversion;metadata_boardassettag;metadata_boardname;metadata_boardvendor;metadata_boardversion;metadata_chassisassettag;metadata_chassisvendor;metadata_chassisversion;metadata_host;metadata_productfamily;metadata_productname;metadata_productsku;metadata_productuuid;metadata_productversion;metadata_systemvendor,count
azure_hostentropyavailablebits_average;azure_hostentropyavailablebits_count;azure_hostentropyavailablebits_maximum;azure_hostentropyavailablebits_minimum;azure_hostentropyavailablebits_total,Available bits in node entropy,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_hostfilesystemavailbytes_average;azure_hostfilesystemavailbytes_count;azure_hostfilesystemavailbytes_maximum;azure_hostfilesystemavailbytes_minimum;azure_hostfilesystemavailbytes_total,Available filesystem size by node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_fstype;metadata_host;metadata_mountpoint,average
azure_hostfilesystemdeviceerror_average;azure_hostfilesystemdeviceerror_count;azure_hostfilesystemdeviceerror_maximum;azure_hostfilesystemdeviceerror_minimum;azure_hostfilesystemdeviceerror_total,Indicates if there was a problem getting information for the filesystem,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_fstype;metadata_host;metadata_mountpoint,average
azure_hostfilesystemfiles_average;azure_hostfilesystemfiles_count;azure_hostfilesystemfiles_maximum;azure_hostfilesystemfiles_minimum;azure_hostfilesystemfiles_total,Total number of permitted inodes,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_fstype;metadata_host;metadata_mountpoint,average
