Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_apiserverauditrequestsrejectedtotal_average;azure_apiserverauditrequestsrejectedtotal_count;azure_apiserverauditrequestsrejectedtotal_maximum;azure_apiserverauditrequestsrejectedtotal_minimum;azure_apiserverauditrequestsrejectedtotal_total,Counter of API server requests rejected due to an error in the audit logging backend,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name,average
azure_apiserverclientcertificateexpirationsecondssum_average;azure_apiserverclientcertificateexpirationsecondssum_count;azure_apiserverclientcertificateexpirationsecondssum_maximum;azure_apiserverclientcertificateexpirationsecondssum_minimum;azure_apiserverclientcertificateexpirationsecondssum_total,Sum of API server client certificate expiration (seconds),Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name,average
azure_apiserverstoragedatakeygenerationfailurestotal_average;azure_apiserverstoragedatakeygenerationfailurestotal_count;azure_apiserverstoragedatakeygenerationfailurestotal_maximum;azure_apiserverstoragedatakeygenerationfailurestotal_minimum;azure_apiserverstoragedatakeygenerationfailurestotal_total,Total number of operations that failed Data Encryption Key (DEK) generation,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name,average
azure_apiservertlshandshakeerrorstotal_average;azure_apiservertlshandshakeerrorstotal_count;azure_apiservertlshandshakeerrorstotal_maximum;azure_apiservertlshandshakeerrorstotal_minimum;azure_apiservertlshandshakeerrorstotal_total,Number of requests dropped with 'TLS handshake' error,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name,average
azure_containerfsiotimesecondstotal_average;azure_containerfsiotimesecondstotal_count;azure_containerfsiotimesecondstotal_maximum;azure_containerfsiotimesecondstotal_minimum;azure_containerfsiotimesecondstotal_total,Time taken for container Input/Output (I/O) operations,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_device;metadata_host,average
azure_containermemoryfailcnt_average;azure_containermemoryfailcnt_count;azure_containermemoryfailcnt_maximum;azure_containermemoryfailcnt_minimum;azure_containermemoryfailcnt_total,Number of times a container's memory usage limit is hit,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_container;metadata_host;metadata_namespace;metadata_pod,average
azure_containermemoryusagebytes_average;azure_containermemoryusagebytes_count;azure_containermemoryusagebytes_maximum;azure_containermemoryusagebytes_minimum;azure_containermemoryusagebytes_total,"Current memory usage, including all memory regardless of when it was accessed",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_container;metadata_host;metadata_namespace;metadata_pod,average
azure_containernetworkreceiveerrorstotal_average;azure_containernetworkreceiveerrorstotal_count;azure_containernetworkreceiveerrorstotal_maximum;azure_containernetworkreceiveerrorstotal_minimum;azure_containernetworkreceiveerrorstotal_total,Number of errors encountered while receiving bytes over the network,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_interface;metadata_namespace;metadata_pod,average
azure_containernetworktransmiterrorstotal_average;azure_containernetworktransmiterrorstotal_count;azure_containernetworktransmiterrorstotal_maximum;azure_containernetworktransmiterrorstotal_minimum;azure_containernetworktransmiterrorstotal_total,Count of errors that happened while transmitting,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_interface;metadata_namespace;metadata_pod,average
azure_containerscrapeerror_average;azure_containerscrapeerror_count;azure_containerscrapeerror_maximum;azure_containerscrapeerror_minimum;azure_containerscrapeerror_total,Indicates whether there was an error while getting container metrics,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_containertasksstate_average;azure_containertasksstate_count;azure_containertasksstate_maximum;azure_containertasksstate_minimum;azure_containertasksstate_total,"Number of tasks or processes in a given state (sleeping, running, stopped, uninterruptible, or waiting) in a container",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_container;metadata_host;metadata_namespace;metadata_pod;metadata_state,average
azure_controllerruntimereconcileerrorstotal_average;azure_controllerruntimereconcileerrorstotal_count;azure_controllerruntimereconcileerrorstotal_maximum;azure_controllerruntimereconcileerrorstotal_minimum;azure_controllerruntimereconcileerrorstotal_total,Total number of reconciliation errors per controller,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_controller;metadata_namespace;metadata_pod name,average
azure_controllerruntimereconciletotal_average;azure_controllerruntimereconciletotal_count;azure_controllerruntimereconciletotal_maximum;azure_controllerruntimereconciletotal_minimum;azure_controllerruntimereconciletotal_total,Total number of reconciliations per controller,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_controller;metadata_namespace;metadata_pod name,average
azure_corednsdnsrequeststotal_average;azure_corednsdnsrequeststotal_count;azure_corednsdnsrequeststotal_maximum;azure_corednsdnsrequeststotal_minimum;azure_corednsdnsrequeststotal_total,Total number of DNS requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_family;metadata_pod name;metadata_proto;metadata_server;metadata_type,average
azure_corednsdnsresponsestotal_average;azure_corednsdnsresponsestotal_count;azure_corednsdnsresponsestotal_maximum;azure_corednsdnsresponsestotal_minimum;azure_corednsdnsresponsestotal_total,Total number of DNS responses,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name;metadata_server;metadata_rcode,average
azure_corednsforwardhealthcheckbrokentotal_average;azure_corednsforwardhealthcheckbrokentotal_count;azure_corednsforwardhealthcheckbrokentotal_maximum;azure_corednsforwardhealthcheckbrokentotal_minimum;azure_corednsforwardhealthcheckbrokentotal_total,Total number of times all upstreams are unhealthy,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name;metadata_namespace,average
azure_corednsforwardmaxconcurrentrejectstotal_average;azure_corednsforwardmaxconcurrentrejectstotal_count;azure_corednsforwardmaxconcurrentrejectstotal_maximum;azure_corednsforwardmaxconcurrentrejectstotal_minimum;azure_corednsforwardmaxconcurrentrejectstotal_total,Total number of rejected queries because concurrent queries were at the maximum limit,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name;metadata_namespace,average
azure_corednshealthrequestfailurestotal_average;azure_corednshealthrequestfailurestotal_count;azure_corednshealthrequestfailurestotal_maximum;azure_corednshealthrequestfailurestotal_minimum;azure_corednshealthrequestfailurestotal_total,The number of times the self health check failed,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name,average
azure_corednspanicstotal_average;azure_corednspanicstotal_count;azure_corednspanicstotal_maximum;azure_corednspanicstotal_minimum;azure_corednspanicstotal_total,Total number of panics,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name,average
azure_corednsreloadfailedtotal_average;azure_corednsreloadfailedtotal_count;azure_corednsreloadfailedtotal_maximum;azure_corednsreloadfailedtotal_minimum;azure_corednsreloadfailedtotal_total,Total number of failed reload attempts,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name;metadata_namespace,average
azure_etcddiskbackendcommitdurationsecondssum_average;azure_etcddiskbackendcommitdurationsecondssum_count;azure_etcddiskbackendcommitdurationsecondssum_maximum;azure_etcddiskbackendcommitdurationsecondssum_minimum;azure_etcddiskbackendcommitdurationsecondssum_total,The latency distribution of commits called by the backend,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,total
azure_etcddiskwalfsyncdurationsecondssum_average;azure_etcddiskwalfsyncdurationsecondssum_count;azure_etcddiskwalfsyncdurationsecondssum_maximum;azure_etcddiskwalfsyncdurationsecondssum_minimum;azure_etcddiskwalfsyncdurationsecondssum_total,The sum of latency distributions of 'fsync' called by the write-ahead log (WAL),Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,total
azure_etcdserverhealthfailures_average;azure_etcdserverhealthfailures_count;azure_etcdserverhealthfailures_maximum;azure_etcdserverhealthfailures_minimum;azure_etcdserverhealthfailures_total,Total server health failures,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pod name,average
azure_etcdserverisleader_average;azure_etcdserverisleader_count;azure_etcdserverisleader_maximum;azure_etcdserverisleader_minimum;azure_etcdserverisleader_total,"Whether or not this member is a leader; 1 if is, 0 otherwise",Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,count
azure_etcdserverislearner_average;azure_etcdserverislearner_count;azure_etcdserverislearner_maximum;azure_etcdserverislearner_minimum;azure_etcdserverislearner_total,"Whether or not this member is a learner; 1 if is, 0 otherwise",Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,count
azure_etcdserverleaderchangesseentotal_average;azure_etcdserverleaderchangesseentotal_count;azure_etcdserverleaderchangesseentotal_maximum;azure_etcdserverleaderchangesseentotal_minimum;azure_etcdserverleaderchangesseentotal_total,The number of leader changes seen,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,average
azure_etcdserverproposalsappliedtotal_average;azure_etcdserverproposalsappliedtotal_count;azure_etcdserverproposalsappliedtotal_maximum;azure_etcdserverproposalsappliedtotal_minimum;azure_etcdserverproposalsappliedtotal_total,The total number of consensus proposals applied,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,average
azure_etcdserverproposalscommittedtotal_average;azure_etcdserverproposalscommittedtotal_count;azure_etcdserverproposalscommittedtotal_maximum;azure_etcdserverproposalscommittedtotal_minimum;azure_etcdserverproposalscommittedtotal_total,The total number of consensus proposals committed,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_component;metadata_pod name;metadata_tier,average
