Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_purefaalertstotal_average;azure_purefaalertstotal_count;azure_purefaalertstotal_maximum;azure_purefaalertstotal_minimum;azure_purefaalertstotal_total,Number of alert events,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_severity,average
azure_purefaarrayperformanceavgblockbytes_average;azure_purefaarrayperformanceavgblockbytes_count;azure_purefaarrayperformanceavgblockbytes_maximum;azure_purefaarrayperformanceavgblockbytes_minimum;azure_purefaarrayperformanceavgblockbytes_total,Average block size,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dimension,average
azure_purefaarrayperformancebandwidthbytes_average;azure_purefaarrayperformancebandwidthbytes_count;azure_purefaarrayperformancebandwidthbytes_maximum;azure_purefaarrayperformancebandwidthbytes_minimum;azure_purefaarrayperformancebandwidthbytes_total,Array throughput in bytes per second,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dimension,average
azure_purefaarrayperformanceiops_average;azure_purefaarrayperformanceiops_count;azure_purefaarrayperformanceiops_maximum;azure_purefaarrayperformanceiops_minimum;azure_purefaarrayperformanceiops_total,Storage array IOPS,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dimension,average
azure_purefaarrayperformancelatencyusec_average;azure_purefaarrayperformancelatencyusec_count;azure_purefaarrayperformancelatencyusec_maximum;azure_purefaarrayperformancelatencyusec_minimum;azure_purefaarrayperformancelatencyusec_total,Storage array latency in microseconds,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dimension,average
azure_purefaarrayperformanceqdepth_average;azure_purefaarrayperformanceqdepth_count;azure_purefaarrayperformanceqdepth_maximum;azure_purefaarrayperformanceqdepth_minimum;azure_purefaarrayperformanceqdepth_total,Storage array queue depth,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_purefaarrayspacecapacitybytes_average;azure_purefaarrayspacecapacitybytes_count;azure_purefaarrayspacecapacitybytes_maximum;azure_purefaarrayspacecapacitybytes_minimum;azure_purefaarrayspacecapacitybytes_total,Storage array overall space capacity,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_purefaarrayspacedatareductionratio_average;azure_purefaarrayspacedatareductionratio_count;azure_purefaarrayspacedatareductionratio_maximum;azure_purefaarrayspacedatareductionratio_minimum;azure_purefaarrayspacedatareductionratio_total,Storage array overall data reduction,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_purefaarrayspaceprovisionedbytes_average;azure_purefaarrayspaceprovisionedbytes_count;azure_purefaarrayspaceprovisionedbytes_maximum;azure_purefaarrayspaceprovisionedbytes_minimum;azure_purefaarrayspaceprovisionedbytes_total,Storage array overall provisioned space,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_purefaarrayspaceusedbytes_average;azure_purefaarrayspaceusedbytes_count;azure_purefaarrayspaceusedbytes_maximum;azure_purefaarrayspaceusedbytes_minimum;azure_purefaarrayspaceusedbytes_total,Storage Array overall used space,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dimension,average
