azure_incoming_average;azure_incoming_count;azure_incoming_maximum;azure_incoming_minimum;azure_incoming_total,Gauge,Count,The count of all successful send API calls.,
azure_incoming.all.failedrequests_average;azure_incoming.all.failedrequests_count;azure_incoming.all.failedrequests_maximum;azure_incoming.all.failedrequests_minimum;azure_incoming.all.failedrequests_total,Gauge,Count,Total incoming failed requests for a notification hub,
azure_incoming.all.requests_average;azure_incoming.all.requests_count;azure_incoming.all.requests_maximum;azure_incoming.all.requests_minimum;azure_incoming.all.requests_total,Gauge,Count,Total incoming requests for a notification hub,
azure_incoming.scheduled_average;azure_incoming.scheduled_count;azure_incoming.scheduled_maximum;azure_incoming.scheduled_minimum;azure_incoming.scheduled_total,Gauge,Count,Scheduled Push Notifications Sent,
azure_incoming.scheduled.cancel_average;azure_incoming.scheduled.cancel_count;azure_incoming.scheduled.cancel_maximum;azure_incoming.scheduled.cancel_minimum;azure_incoming.scheduled.cancel_total,Gauge,Count,Scheduled Push Notifications Cancelled,
azure_installation.all_average;azure_installation.all_count;azure_installation.all_maximum;azure_installation.all_minimum;azure_installation.all_total,Gauge,Count,Installation Management Operations,
azure_installation.delete_average;azure_installation.delete_count;azure_installation.delete_maximum;azure_installation.delete_minimum;azure_installation.delete_total,Gauge,Count,Delete Installation Operations,
azure_installation.get_average;azure_installation.get_count;azure_installation.get_maximum;azure_installation.get_minimum;azure_installation.get_total,Gauge,Count,Get Installation Operations,
azure_installation.patch_average;azure_installation.patch_count;azure_installation.patch_maximum;azure_installation.patch_minimum;azure_installation.patch_total,Gauge,Count,Patch Installation Operations,
azure_installation.upsert_average;azure_installation.upsert_count;azure_installation.upsert_maximum;azure_installation.upsert_minimum;azure_installation.upsert_total,Gauge,Count,Create or Update Installation Operations,
azure_notificationhub.pushes_average;azure_notificationhub.pushes_count;azure_notificationhub.pushes_maximum;azure_notificationhub.pushes_minimum;azure_notificationhub.pushes_total,Gauge,Count,All outgoing notifications of the notification hub,
azure_outgoing.allpns.badorexpiredchannel_average;azure_outgoing.allpns.badorexpiredchannel_count;azure_outgoing.allpns.badorexpiredchannel_maximum;azure_outgoing.allpns.badorexpiredchannel_minimum;azure_outgoing.allpns.badorexpiredchannel_total,Gauge,Count,The count of pushes that failed because the channel/token/registrationId in the registration was expired or invalid.,
azure_outgoing.allpns.channelerror_average;azure_outgoing.allpns.channelerror_count;azure_outgoing.allpns.channelerror_maximum;azure_outgoing.allpns.channelerror_minimum;azure_outgoing.allpns.channelerror_total,Gauge,Count,The count of pushes that failed because the channel was invalid not associated with the correct app throttled or expired.,
azure_outgoing.allpns.invalidpayload_average;azure_outgoing.allpns.invalidpayload_count;azure_outgoing.allpns.invalidpayload_maximum;azure_outgoing.allpns.invalidpayload_minimum;azure_outgoing.allpns.invalidpayload_total,Gauge,Count,The count of pushes that failed because the PNS returned a bad payload error.,
azure_outgoing.allpns.pnserror_average;azure_outgoing.allpns.pnserror_count;azure_outgoing.allpns.pnserror_maximum;azure_outgoing.allpns.pnserror_minimum;azure_outgoing.allpns.pnserror_total,Gauge,Count,The count of pushes that failed because there was a problem communicating with the PNS (excludes authentication problems).,
azure_outgoing.allpns.success_average;azure_outgoing.allpns.success_count;azure_outgoing.allpns.success_maximum;azure_outgoing.allpns.success_minimum;azure_outgoing.allpns.success_total,Gauge,Count,The count of all successful notifications.,
