azure_availabilityrate_query_average;azure_availabilityrate_query_count;azure_availabilityrate_query_maximum;azure_availabilityrate_query_minimum;azure_availabilityrate_query_total,Gauge,Percent,User query success rate for this workspace.,
azure_average_%_available_memory_average;azure_average_%_available_memory_count;azure_average_%_available_memory_maximum;azure_average_%_available_memory_minimum;azure_average_%_available_memory_total,Gauge,Count,Average_% Available Memory. Supported for: Linux. Part of metric alerts for logs feature.,
azure_average_%_available_swap_space_average;azure_average_%_available_swap_space_count;azure_average_%_available_swap_space_maximum;azure_average_%_available_swap_space_minimum;azure_average_%_available_swap_space_total,Gauge,Count,Average_% Available Swap Space. Supported for: Linux. Part of metric alerts for logs feature.,
azure_average_%_committed_bytes_in_use_average;azure_average_%_committed_bytes_in_use_count;azure_average_%_committed_bytes_in_use_maximum;azure_average_%_committed_bytes_in_use_minimum;azure_average_%_committed_bytes_in_use_total,Gauge,Count,Average_% Committed Bytes In Use. Supported for: Windows. Part of metric alerts for logs feature.,
azure_average_%_dpc_time_average;azure_average_%_dpc_time_count;azure_average_%_dpc_time_maximum;azure_average_%_dpc_time_minimum;azure_average_%_dpc_time_total,Gauge,Count,"Average_% DPC Time. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
azure_average_%_free_inodes_average;azure_average_%_free_inodes_count;azure_average_%_free_inodes_maximum;azure_average_%_free_inodes_minimum;azure_average_%_free_inodes_total,Gauge,Count,Average_% Free Inodes. Supported for: Linux. Part of metric alerts for logs feature.,
azure_average_%_free_space_average;azure_average_%_free_space_count;azure_average_%_free_space_maximum;azure_average_%_free_space_minimum;azure_average_%_free_space_total,Gauge,Count,"Average_% Free Space. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
azure_average_%_idle_time_average;azure_average_%_idle_time_count;azure_average_%_idle_time_maximum;azure_average_%_idle_time_minimum;azure_average_%_idle_time_total,Gauge,Count,"Average_% Idle Time. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
azure_average_%_interrupt_time_average;azure_average_%_interrupt_time_count;azure_average_%_interrupt_time_maximum;azure_average_%_interrupt_time_minimum;azure_average_%_interrupt_time_total,Gauge,Count,"Average_% Interrupt Time. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
azure_average_%_io_wait_time_average;azure_average_%_io_wait_time_count;azure_average_%_io_wait_time_maximum;azure_average_%_io_wait_time_minimum;azure_average_%_io_wait_time_total,Gauge,Count,Average_% IO Wait Time. Supported for: Linux. Part of metric alerts for logs feature.,
azure_average_%_nice_time_average;azure_average_%_nice_time_count;azure_average_%_nice_time_maximum;azure_average_%_nice_time_minimum;azure_average_%_nice_time_total,Gauge,Count,Average_% Nice Time. Supported for: Linux. Part of metric alerts for logs feature.,
azure_average_%_privileged_time_average;azure_average_%_privileged_time_count;azure_average_%_privileged_time_maximum;azure_average_%_privileged_time_minimum;azure_average_%_privileged_time_total,Gauge,Count,"Average_% Privileged Time. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
azure_average_%_processor_time_average;azure_average_%_processor_time_count;azure_average_%_processor_time_maximum;azure_average_%_processor_time_minimum;azure_average_%_processor_time_total,Gauge,Count,"Average_% Processor Time. Supported for: Linux, Windows. Part of metric alerts for logs feature.",
