azure_activeconnections_average;azure_activeconnections_count;azure_activeconnections_maximum;azure_activeconnections_minimum;azure_activeconnections_total,Gauge,Count,Total ActiveConnections for Microsoft.Relay.,
azure_activelisteners_average;azure_activelisteners_count;azure_activelisteners_maximum;azure_activelisteners_minimum;azure_activelisteners_total,Gauge,Count,Total ActiveListeners for Microsoft.Relay.,
azure_bytestransferred_average;azure_bytestransferred_count;azure_bytestransferred_maximum;azure_bytestransferred_minimum;azure_bytestransferred_total,Gauge,Bytes,Total BytesTransferred for Microsoft.Relay.,
azure_listenerconnections-clienterror_average;azure_listenerconnections-clienterror_count;azure_listenerconnections-clienterror_maximum;azure_listenerconnections-clienterror_minimum;azure_listenerconnections-clienterror_total,Gauge,Count,ClientError on ListenerConnections for Microsoft.Relay.,
azure_listenerconnections-servererror_average;azure_listenerconnections-servererror_count;azure_listenerconnections-servererror_maximum;azure_listenerconnections-servererror_minimum;azure_listenerconnections-servererror_total,Gauge,Count,ServerError on ListenerConnections for Microsoft.Relay.,
azure_listenerconnections-success_average;azure_listenerconnections-success_count;azure_listenerconnections-success_maximum;azure_listenerconnections-success_minimum;azure_listenerconnections-success_total,Gauge,Count,Successful ListenerConnections for Microsoft.Relay.,
azure_listenerconnections-totalrequests_average;azure_listenerconnections-totalrequests_count;azure_listenerconnections-totalrequests_maximum;azure_listenerconnections-totalrequests_minimum;azure_listenerconnections-totalrequests_total,Gauge,Count,Total ListenerConnections for Microsoft.Relay.,
azure_listenerdisconnects_average;azure_listenerdisconnects_count;azure_listenerdisconnects_maximum;azure_listenerdisconnects_minimum;azure_listenerdisconnects_total,Gauge,Count,Total ListenerDisconnects for Microsoft.Relay.,
azure_senderconnections-clienterror_average;azure_senderconnections-clienterror_count;azure_senderconnections-clienterror_maximum;azure_senderconnections-clienterror_minimum;azure_senderconnections-clienterror_total,Gauge,Count,ClientError on SenderConnections for Microsoft.Relay.,
azure_senderconnections-servererror_average;azure_senderconnections-servererror_count;azure_senderconnections-servererror_maximum;azure_senderconnections-servererror_minimum;azure_senderconnections-servererror_total,Gauge,Count,ServerError on SenderConnections for Microsoft.Relay.,
azure_senderconnections-success_average;azure_senderconnections-success_count;azure_senderconnections-success_maximum;azure_senderconnections-success_minimum;azure_senderconnections-success_total,Gauge,Count,Successful SenderConnections for Microsoft.Relay.,
azure_senderconnections-totalrequests_average;azure_senderconnections-totalrequests_count;azure_senderconnections-totalrequests_maximum;azure_senderconnections-totalrequests_minimum;azure_senderconnections-totalrequests_total,Gauge,Count,Total SenderConnections requests for Microsoft.Relay.,
azure_senderdisconnects_average;azure_senderdisconnects_count;azure_senderdisconnects_maximum;azure_senderdisconnects_minimum;azure_senderdisconnects_total,Gauge,Count,Total SenderDisconnects for Microsoft.Relay.,
