Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_availability_average;azure_availability_count;azure_availability_maximum;azure_availability_minimum;azure_availability_total,"The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.",Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare,average
azure_egress_average;azure_egress_count;azure_egress_maximum;azure_egress_minimum;azure_egress_total,"The amount of egress data. This number includes egress to external client from Azure Storage as well as egress within Azure. As a result, this number does not reflect billable egress.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare,total
azure_filecapacity_average;azure_filecapacity_count;azure_filecapacity_maximum;azure_filecapacity_minimum;azure_filecapacity_total,The amount of File storage used by the storage account.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare;metadata_tier,average
azure_filecount_average;azure_filecount_count;azure_filecount_maximum;azure_filecount_minimum;azure_filecount_total,The number of files in the storage account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare;metadata_tier,average
azure_filesharecapacityquota_average;azure_filesharecapacityquota_count;azure_filesharecapacityquota_maximum;azure_filesharecapacityquota_minimum;azure_filesharecapacityquota_total,The upper limit on the amount of storage that can be used by Azure Files Service in bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare,average
azure_filesharecount_average;azure_filesharecount_count;azure_filesharecount_maximum;azure_filesharecount_minimum;azure_filesharecount_total,The number of file shares in the storage account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_fileshareprovisionediops_average;azure_fileshareprovisionediops_count;azure_fileshareprovisionediops_maximum;azure_fileshareprovisionediops_minimum;azure_fileshareprovisionediops_total,The baseline number of provisioned IOPS for the premium file share in the premium files storage account. This number is calculated based on the provisioned size (quota) of the share capacity.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare,average
azure_filesharesnapshotcount_average;azure_filesharesnapshotcount_count;azure_filesharesnapshotcount_maximum;azure_filesharesnapshotcount_minimum;azure_filesharesnapshotcount_total,The number of snapshots present on the share in storage account's Files Service.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare,average
azure_filesharesnapshotsize_average;azure_filesharesnapshotsize_count;azure_filesharesnapshotsize_maximum;azure_filesharesnapshotsize_minimum;azure_filesharesnapshotsize_total,The amount of storage used by the snapshots in storage account's File service in bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fileshare,average
azure_ingress_average;azure_ingress_count;azure_ingress_maximum;azure_ingress_minimum;azure_ingress_total,"The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare,total
azure_successe2elatency_average;azure_successe2elatency_count;azure_successe2elatency_maximum;azure_successe2elatency_minimum;azure_successe2elatency_total,"The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.",MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare,average
azure_successserverlatency_average;azure_successserverlatency_count;azure_successserverlatency_maximum;azure_successserverlatency_minimum;azure_successserverlatency_total,The average time used to process a successful request by Azure Storage. This value does not include the network latency specified in SuccessE2ELatency.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare,average
azure_transactions_average;azure_transactions_count;azure_transactions_maximum;azure_transactions_minimum;azure_transactions_total,"The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_responsetype;metadata_geotype;metadata_apiname;metadata_authentication;metadata_fileshare;metadata_transactiontype,total
