Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_clientiops_average;azure_clientiops_count;azure_clientiops_maximum;azure_clientiops_minimum;azure_clientiops_total,The rate of client file operations processed by the Cache.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientlatency_average;azure_clientlatency_count;azure_clientlatency_maximum;azure_clientlatency_minimum;azure_clientlatency_total,Average latency of client file operations to the Cache.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientlockiops_average;azure_clientlockiops_count;azure_clientlockiops_maximum;azure_clientlockiops_minimum;azure_clientlockiops_total,Client file locking operations per second.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientmetadatareadiops_average;azure_clientmetadatareadiops_count;azure_clientmetadatareadiops_maximum;azure_clientmetadatareadiops_minimum;azure_clientmetadatareadiops_total,"The rate of client file operations sent to the Cache, excluding data reads, that do not modify persistent state.",CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientmetadatawriteiops_average;azure_clientmetadatawriteiops_count;azure_clientmetadatawriteiops_maximum;azure_clientmetadatawriteiops_minimum;azure_clientmetadatawriteiops_total,"The rate of client file operations sent to the Cache, excluding data writes, that modify persistent state.",CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientreadiops_average;azure_clientreadiops_count;azure_clientreadiops_maximum;azure_clientreadiops_minimum;azure_clientreadiops_total,Client read operations per second.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientreadthroughput_average;azure_clientreadthroughput_count;azure_clientreadthroughput_maximum;azure_clientreadthroughput_minimum;azure_clientreadthroughput_total,Client read data transfer rate.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientstatus_average;azure_clientstatus_count;azure_clientstatus_maximum;azure_clientstatus_minimum;azure_clientstatus_total,Client connection information.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clientsource;metadata_cacheaddress;metadata_clientaddress;metadata_protocol;metadata_connectiontype,total
azure_clientwriteiops_average;azure_clientwriteiops_count;azure_clientwriteiops_maximum;azure_clientwriteiops_minimum;azure_clientwriteiops_total,Client write operations per second.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_clientwritethroughput_average;azure_clientwritethroughput_count;azure_clientwritethroughput_maximum;azure_clientwritethroughput_minimum;azure_clientwritethroughput_total,Client write data transfer rate.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_fileops_average;azure_fileops_count;azure_fileops_maximum;azure_fileops_minimum;azure_fileops_total,Number of file operations per second.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_sourcefile;metadata_rank;metadata_filetype,average
azure_filereads_average;azure_filereads_count;azure_filereads_maximum;azure_filereads_minimum;azure_filereads_total,Number of bytes per second read from a file.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_sourcefile;metadata_rank;metadata_filetype,average
azure_fileupdates_average;azure_fileupdates_count;azure_fileupdates_maximum;azure_fileupdates_minimum;azure_fileupdates_total,Number of directory updates and metadata operations per second.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_sourcefile;metadata_rank;metadata_filetype,average
azure_filewrites_average;azure_filewrites_count;azure_filewrites_maximum;azure_filewrites_minimum;azure_filewrites_total,Number of bytes per second written to a file.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_sourcefile;metadata_rank;metadata_filetype,average
azure_storagetargetaccesserrors_average;azure_storagetargetaccesserrors_count;azure_storagetargetaccesserrors_maximum;azure_storagetargetaccesserrors_minimum;azure_storagetargetaccesserrors_total,"The rate of access error responses received by the cache from a specific StorageTarget. For more details, see https://www.rfc-editor.org/rfc/rfc1813#section-2.6 (NFS3ERR_ACCES).",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_storagetarget,total
azure_storagetargetasyncwritethroughput_average;azure_storagetargetasyncwritethroughput_count;azure_storagetargetasyncwritethroughput_maximum;azure_storagetargetasyncwritethroughput_minimum;azure_storagetargetasyncwritethroughput_total,The rate the Cache asynchronously writes data to a particular StorageTarget. These are opportunistic writes that do not cause clients to block.,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_storagetarget,average
azure_storagetargetblocksrecycled_average;azure_storagetargetblocksrecycled_count;azure_storagetargetblocksrecycled_maximum;azure_storagetargetblocksrecycled_minimum;azure_storagetargetblocksrecycled_total,Total number of 16k cache blocks recycled (freed) per Storage Target.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_storagetarget,average
azure_storagetargetfiletoolargeerrors_average;azure_storagetargetfiletoolargeerrors_count;azure_storagetargetfiletoolargeerrors_maximum;azure_storagetargetfiletoolargeerrors_minimum;azure_storagetargetfiletoolargeerrors_total,"The rate of file too large error responses received by the cache from a specific StorageTarget. For more details, see https://www.rfc-editor.org/rfc/rfc1813#section-2.6 (NFS3ERR_FBIG).",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_storagetarget,total
