Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_serversyncsessionresult_average;azure_serversyncsessionresult_count;azure_serversyncsessionresult_maximum;azure_serversyncsessionresult_minimum;azure_serversyncsessionresult_total,Metric that logs a value of 1 each time the Server Endpoint successfully completes a Sync Session with the Cloud Endpoint,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_serverendpointname;metadata_syncdirection,average
azure_storagesyncbatchtransferredfilebytes_average;azure_storagesyncbatchtransferredfilebytes_count;azure_storagesyncbatchtransferredfilebytes_maximum;azure_storagesyncbatchtransferredfilebytes_minimum;azure_storagesyncbatchtransferredfilebytes_total,Total file size transferred for Sync Sessions,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_serverendpointname;metadata_syncdirection,total
azure_storagesynccomputedcachehitrate_average;azure_storagesynccomputedcachehitrate_count;azure_storagesynccomputedcachehitrate_maximum;azure_storagesynccomputedcachehitrate_minimum;azure_storagesynccomputedcachehitrate_total,Percentage of bytes that were served from the cache,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,average
azure_storagesyncdatasizebyaccesspattern_average;azure_storagesyncdatasizebyaccesspattern_count;azure_storagesyncdatasizebyaccesspattern_maximum;azure_storagesyncdatasizebyaccesspattern_minimum;azure_storagesyncdatasizebyaccesspattern_total,Size of data by last access time,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname;metadata_lastaccesstime,average
azure_storagesyncincrementaltiereddatasizebytes_average;azure_storagesyncincrementaltiereddatasizebytes_count;azure_storagesyncincrementaltiereddatasizebytes_maximum;azure_storagesyncincrementaltiereddatasizebytes_minimum;azure_storagesyncincrementaltiereddatasizebytes_total,Size of data tiered during last maintenance job,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname;metadata_tieringreason,total
azure_storagesyncrecallcomputedsuccessrate_average;azure_storagesyncrecallcomputedsuccessrate_count;azure_storagesyncrecallcomputedsuccessrate_maximum;azure_storagesyncrecallcomputedsuccessrate_minimum;azure_storagesyncrecallcomputedsuccessrate_total,Percentage of all recalls that were successful,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,average
azure_storagesyncrecallednetworkbytesbyapplication_average;azure_storagesyncrecallednetworkbytesbyapplication_count;azure_storagesyncrecallednetworkbytesbyapplication_maximum;azure_storagesyncrecallednetworkbytesbyapplication_minimum;azure_storagesyncrecallednetworkbytesbyapplication_total,Size of data recalled by application,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_applicationname,total
azure_storagesyncrecalledtotalnetworkbytes_average;azure_storagesyncrecalledtotalnetworkbytes_count;azure_storagesyncrecalledtotalnetworkbytes_maximum;azure_storagesyncrecalledtotalnetworkbytes_minimum;azure_storagesyncrecalledtotalnetworkbytes_total,Size of data recalled,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,total
azure_storagesyncrecallthroughputbytespersecond_average;azure_storagesyncrecallthroughputbytespersecond_count;azure_storagesyncrecallthroughputbytespersecond_maximum;azure_storagesyncrecallthroughputbytespersecond_minimum;azure_storagesyncrecallthroughputbytespersecond_total,Size of data recall throughput,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,average
azure_storagesyncserverheartbeat_average;azure_storagesyncserverheartbeat_count;azure_storagesyncserverheartbeat_maximum;azure_storagesyncserverheartbeat_minimum;azure_storagesyncserverheartbeat_total,Metric that logs a value of 1 each time the resigtered server successfully records a heartbeat with the Cloud Endpoint,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,maximum
azure_storagesyncsyncsessionappliedfilescount_average;azure_storagesyncsyncsessionappliedfilescount_count;azure_storagesyncsyncsessionappliedfilescount_maximum;azure_storagesyncsyncsessionappliedfilescount_minimum;azure_storagesyncsyncsessionappliedfilescount_total,Count of Files synced,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_serverendpointname;metadata_syncdirection,total
azure_storagesyncsyncsessionperitemerrorscount_average;azure_storagesyncsyncsessionperitemerrorscount_count;azure_storagesyncsyncsessionperitemerrorscount_maximum;azure_storagesyncsyncsessionperitemerrorscount_minimum;azure_storagesyncsyncsessionperitemerrorscount_total,Count of files failed to sync,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_serverendpointname;metadata_syncdirection,average
azure_storagesynctiereddatasizebytes_average;azure_storagesynctiereddatasizebytes_count;azure_storagesynctiereddatasizebytes_maximum;azure_storagesynctiereddatasizebytes_minimum;azure_storagesynctiereddatasizebytes_total,Size of data tiered to Azure file share,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,average
azure_storagesynctieringcachesizebytes_average;azure_storagesynctieringcachesizebytes_count;azure_storagesynctieringcachesizebytes_maximum;azure_storagesynctieringcachesizebytes_minimum;azure_storagesynctieringcachesizebytes_total,Size of data cached on the server,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_syncgroupname;metadata_servername;metadata_serverendpointname,average
