Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_amlcalloutfailedrequests_average;azure_amlcalloutfailedrequests_count;azure_amlcalloutfailedrequests_maximum;azure_amlcalloutfailedrequests_minimum;azure_amlcalloutfailedrequests_total,Failed Function Requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_amlcalloutinputevents_average;azure_amlcalloutinputevents_count;azure_amlcalloutinputevents_maximum;azure_amlcalloutinputevents_minimum;azure_amlcalloutinputevents_total,Function Events,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_amlcalloutrequests_average;azure_amlcalloutrequests_count;azure_amlcalloutrequests_maximum;azure_amlcalloutrequests_minimum;azure_amlcalloutrequests_total,Function Requests,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_conversionerrors_average;azure_conversionerrors_count;azure_conversionerrors_maximum;azure_conversionerrors_minimum;azure_conversionerrors_total,Data Conversion Errors,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_deserializationerror_average;azure_deserializationerror_count;azure_deserializationerror_maximum;azure_deserializationerror_minimum;azure_deserializationerror_total,Input Deserialization Errors,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_droppedoradjustedevents_average;azure_droppedoradjustedevents_count;azure_droppedoradjustedevents_maximum;azure_droppedoradjustedevents_minimum;azure_droppedoradjustedevents_total,Out of order Events,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_earlyinputevents_average;azure_earlyinputevents_count;azure_earlyinputevents_maximum;azure_earlyinputevents_minimum;azure_earlyinputevents_total,Early Input Events,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_errors_average;azure_errors_count;azure_errors_maximum;azure_errors_minimum;azure_errors_total,Runtime Errors,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_inputeventbytes_average;azure_inputeventbytes_count;azure_inputeventbytes_maximum;azure_inputeventbytes_minimum;azure_inputeventbytes_total,Input Event Bytes,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
azure_inputevents_average;azure_inputevents_count;azure_inputevents_maximum;azure_inputevents_minimum;azure_inputevents_total,Input Events,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_logicalname;metadata_partitionid;metadata_processorinstance;metadata_nodename,total
