Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_activequeries_average;azure_activequeries_count;azure_activequeries_maximum;azure_activequeries_minimum;azure_activequeries_total,The active queries. Using this metric unfiltered and unsplit displays all active queries running on the system,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_isuserdefined,total
azure_adaptivecachehitpercent_average;azure_adaptivecachehitpercent_count;azure_adaptivecachehitpercent_maximum;azure_adaptivecachehitpercent_minimum;azure_adaptivecachehitpercent_total,Measures how well workloads are utilizing the adaptive cache. Use this metric with the cache hit percentage metric to determine whether to scale for additional capacity or rerun workloads to hydrate the cache,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_adaptivecacheusedpercent_average;azure_adaptivecacheusedpercent_count;azure_adaptivecacheusedpercent_maximum;azure_adaptivecacheusedpercent_minimum;azure_adaptivecacheusedpercent_total,Measures how well workloads are utilizing the adaptive cache. Use this metric with the cache used percentage metric to determine whether to scale for additional capacity or rerun workloads to hydrate the cache,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_connections_average;azure_connections_count;azure_connections_maximum;azure_connections_minimum;azure_connections_total,Count of Total logins to the SQL pool,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_result,total
azure_connectionsblockedbyfirewall_average;azure_connectionsblockedbyfirewall_count;azure_connectionsblockedbyfirewall_maximum;azure_connectionsblockedbyfirewall_minimum;azure_connectionsblockedbyfirewall_total,Count of connections blocked by firewall rules. Revisit access control policies for your SQL pool and monitor these connections if the count is high,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_cpupercent_average;azure_cpupercent_count;azure_cpupercent_maximum;azure_cpupercent_minimum;azure_cpupercent_total,CPU utilization across all nodes in the SQL pool,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_dwulimit_average;azure_dwulimit_count;azure_dwulimit_maximum;azure_dwulimit_minimum;azure_dwulimit_total,Service level objective of the SQL pool,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_dwuused_average;azure_dwuused_count;azure_dwuused_maximum;azure_dwuused_minimum;azure_dwuused_total,Represents a high-level representation of usage across the SQL pool. Measured by DWU limit * DWU percentage,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_dwuusedpercent_average;azure_dwuusedpercent_count;azure_dwuusedpercent_maximum;azure_dwuusedpercent_minimum;azure_dwuusedpercent_total,Represents a high-level representation of usage across the SQL pool. Measured by taking the maximum between CPU percentage and Data IO percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_localtempdbusedpercent_average;azure_localtempdbusedpercent_count;azure_localtempdbusedpercent_maximum;azure_localtempdbusedpercent_minimum;azure_localtempdbusedpercent_total,Local tempdb utilization across all compute nodes - values are emitted every five minute,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
