Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_active_connections_average;azure_active_connections_count;azure_active_connections_maximum;azure_active_connections_minimum;azure_active_connections_total,Active Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_percent_average;azure_cpu_percent_count;azure_cpu_percent_maximum;azure_cpu_percent_minimum;azure_cpu_percent_total,CPU percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_memory_percent_average;azure_memory_percent_count;azure_memory_percent_maximum;azure_memory_percent_minimum;azure_memory_percent_total,Memory percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_connections_failed_average;azure_connections_failed_count;azure_connections_failed_maximum;azure_connections_failed_minimum;azure_connections_failed_total,Failed Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_network_bytes_egress_average;azure_network_bytes_egress_count;azure_network_bytes_egress_maximum;azure_network_bytes_egress_minimum;azure_network_bytes_egress_total,Network Out across active connections,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_network_bytes_ingress_average;azure_network_bytes_ingress_count;azure_network_bytes_ingress_maximum;azure_network_bytes_ingress_minimum;azure_network_bytes_ingress_total,Network In across active connections,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_storage_percent_average;azure_storage_percent_count;azure_storage_percent_maximum;azure_storage_percent_minimum;azure_storage_percent_total,Storage percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_storage_used_average;azure_storage_used_count;azure_storage_used_maximum;azure_storage_used_minimum;azure_storage_used_total,Storage used,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_backup_storage_used_average;azure_backup_storage_used_count;azure_backup_storage_used_maximum;azure_backup_storage_used_minimum;azure_backup_storage_used_total,Backup Storage used,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_io_consumption_percent_average;azure_io_consumption_percent_count;azure_io_consumption_percent_maximum;azure_io_consumption_percent_minimum;azure_io_consumption_percent_total,IO percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_serverlog_storage_percent_average;azure_serverlog_storage_percent_count;azure_serverlog_storage_percent_maximum;azure_serverlog_storage_percent_minimum;azure_serverlog_storage_percent_total,Server Log storage percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_serverlog_storage_limit_average;azure_serverlog_storage_limit_count;azure_serverlog_storage_limit_maximum;azure_serverlog_storage_limit_minimum;azure_serverlog_storage_limit_total,Server Log storage limit,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_serverlog_storage_usage_average;azure_serverlog_storage_usage_count;azure_serverlog_storage_usage_maximum;azure_serverlog_storage_usage_minimum;azure_serverlog_storage_usage_total,Server Log storage used,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_storage_limit_average;azure_storage_limit_count;azure_storage_limit_maximum;azure_storage_limit_minimum;azure_storage_limit_total,Storage limit,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
