Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cpu_percent_average;azure_cpu_percent_count;azure_cpu_percent_maximum;azure_cpu_percent_minimum;azure_cpu_percent_total,Host CPU Percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_slow_queries_average;azure_slow_queries_count;azure_slow_queries_maximum;azure_slow_queries_minimum;azure_slow_queries_total,The number of queries that have taken more than long_query_time seconds.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_active_connections_average;azure_active_connections_count;azure_active_connections_maximum;azure_active_connections_minimum;azure_active_connections_total,Active Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_threads_running_average;azure_threads_running_count;azure_threads_running_maximum;azure_threads_running_minimum;azure_threads_running_total,The number of threads that are not sleeping.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_memory_percent_average;azure_memory_percent_count;azure_memory_percent_maximum;azure_memory_percent_minimum;azure_memory_percent_total,Host Memory Percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_queries_average;azure_queries_count;azure_queries_maximum;azure_queries_minimum;azure_queries_total,Queries,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_available_memory_bytes_average;azure_available_memory_bytes_count;azure_available_memory_bytes_maximum;azure_available_memory_bytes_minimum;azure_available_memory_bytes_total,"Amount of physical memory, in bytes.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_aborted_connections_average;azure_aborted_connections_count;azure_aborted_connections_maximum;azure_aborted_connections_minimum;azure_aborted_connections_total,Aborted Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_io_consumption_percent_average;azure_io_consumption_percent_count;azure_io_consumption_percent_maximum;azure_io_consumption_percent_minimum;azure_io_consumption_percent_total,Storage I/O consumption percent,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_backup_storage_used_average;azure_backup_storage_used_count;azure_backup_storage_used_maximum;azure_backup_storage_used_minimum;azure_backup_storage_used_total,Backup Storage Used,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_network_bytes_egress_average;azure_network_bytes_egress_count;azure_network_bytes_egress_maximum;azure_network_bytes_egress_minimum;azure_network_bytes_egress_total,Host Network egress in bytes,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_network_bytes_ingress_average;azure_network_bytes_ingress_count;azure_network_bytes_ingress_maximum;azure_network_bytes_ingress_minimum;azure_network_bytes_ingress_total,Host Network ingress in bytes,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_total_connections_average;azure_total_connections_count;azure_total_connections_maximum;azure_total_connections_minimum;azure_total_connections_total,Total Connections,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
