Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cpuutilizationpercentage_average;azure_cpuutilizationpercentage_count;azure_cpuutilizationpercentage_maximum;azure_cpuutilizationpercentage_minimum;azure_cpuutilizationpercentage_total,Utilization percentage of a CPU node. Utilization is aggregated in one minute intervals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_runid;metadata_instanceid;metadata_computename,average
azure_cpumemoryutilizationpercentage_average;azure_cpumemoryutilizationpercentage_count;azure_cpumemoryutilizationpercentage_maximum;azure_cpumemoryutilizationpercentage_minimum;azure_cpumemoryutilizationpercentage_total,Memory utilization percentage of a CPU node. Utilization is aggregated in one minute intervals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_runid;metadata_instanceid;metadata_computename,average
azure_networkinputmegabytes_average;azure_networkinputmegabytes_count;azure_networkinputmegabytes_maximum;azure_networkinputmegabytes_minimum;azure_networkinputmegabytes_total,Network data received in megabytes. Metrics are aggregated in one minute intervals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_runid;metadata_instanceid;metadata_computename;metadata_deviceid,average
azure_networkoutputmegabytes_average;azure_networkoutputmegabytes_count;azure_networkoutputmegabytes_maximum;azure_networkoutputmegabytes_minimum;azure_networkoutputmegabytes_total,Network data sent in megabytes. Metrics are aggregated in one minute intervals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_runid;metadata_instanceid;metadata_computename;metadata_deviceid,average
azure_errors_average;azure_errors_count;azure_errors_maximum;azure_errors_minimum;azure_errors_total,Number of run errors in this workspace. Count is updated whenever run encounters an error.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_scenario,total
azure_failed_runs_average;azure_failed_runs_count;azure_failed_runs_maximum;azure_failed_runs_minimum;azure_failed_runs_total,Number of runs failed for this workspace. Count is updated when a run fails.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_scenario;metadata_runtype;metadata_publishedpipelineid;metadata_computetype;metadata_pipelinesteptype;metadata_experimentname,total
azure_cancelled_runs_average;azure_cancelled_runs_count;azure_cancelled_runs_maximum;azure_cancelled_runs_minimum;azure_cancelled_runs_total,Number of runs cancelled for this workspace. Count is updated when a run is successfully cancelled.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_scenario;metadata_runtype;metadata_publishedpipelineid;metadata_computetype;metadata_pipelinesteptype;metadata_experimentname,total
azure_completed_runs_average;azure_completed_runs_count;azure_completed_runs_maximum;azure_completed_runs_minimum;azure_completed_runs_total,Number of runs completed successfully for this workspace. Count is updated when a run has completed and output has been collected.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_scenario;metadata_runtype;metadata_publishedpipelineid;metadata_computetype;metadata_pipelinesteptype;metadata_experimentname,total
azure_warnings_average;azure_warnings_count;azure_warnings_maximum;azure_warnings_minimum;azure_warnings_total,Number of run warnings in this workspace. Count is updated whenever a run encounters a warning.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_scenario,total
azure_diskwritemegabytes_average;azure_diskwritemegabytes_count;azure_diskwritemegabytes_maximum;azure_diskwritemegabytes_minimum;azure_diskwritemegabytes_total,Data written into disk in megabytes. Metrics are aggregated in one minute intervals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_runid;metadata_instanceid;metadata_computename,average
