Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_activeconnections_average;azure_activeconnections_count;azure_activeconnections_maximum;azure_activeconnections_minimum;azure_activeconnections_total,Total Active Connections for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_namespacecpuusage_average;azure_namespacecpuusage_count;azure_namespacecpuusage_maximum;azure_namespacecpuusage_minimum;azure_namespacecpuusage_total,Service bus premium namespace CPU usage metric.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_replica,maximum
azure_namespacememoryusage_average;azure_namespacememoryusage_count;azure_namespacememoryusage_maximum;azure_namespacememoryusage_minimum;azure_namespacememoryusage_total,Service bus premium namespace memory usage metric.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_replica,maximum
azure_activemessages_average;azure_activemessages_count;azure_activemessages_maximum;azure_activemessages_minimum;azure_activemessages_total,Count of active messages in a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_completemessage_average;azure_completemessage_count;azure_completemessage_maximum;azure_completemessage_minimum;azure_completemessage_total,Count of messages completed on a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,total
azure_servererrors_average;azure_servererrors_count;azure_servererrors_maximum;azure_servererrors_minimum;azure_servererrors_total,Server Errors for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname;metadata_operationresult,total
azure_usererrors_average;azure_usererrors_count;azure_usererrors_maximum;azure_usererrors_minimum;azure_usererrors_total,User Errors for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname;metadata_operationresult,total
azure_connectionsclosed_average;azure_connectionsclosed_count;azure_connectionsclosed_maximum;azure_connectionsclosed_minimum;azure_connectionsclosed_total,Connections Closed for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_connectionsopened_average;azure_connectionsopened_count;azure_connectionsopened_maximum;azure_connectionsopened_minimum;azure_connectionsopened_total,Connections Opened for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_abandonmessage_average;azure_abandonmessage_count;azure_abandonmessage_maximum;azure_abandonmessage_minimum;azure_abandonmessage_total,Count of messages abandoned on a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,total
azure_deadletteredmessages_average;azure_deadletteredmessages_count;azure_deadletteredmessages_maximum;azure_deadletteredmessages_minimum;azure_deadletteredmessages_total,Count of dead-lettered messages in a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_cpuxns_average;azure_cpuxns_count;azure_cpuxns_maximum;azure_cpuxns_minimum;azure_cpuxns_total,Service bus premium namespace CPU usage metric. This metric is depricated. Please use the CPU metric (NamespaceCpuUsage) instead.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_replica,maximum
azure_incomingmessages_average;azure_incomingmessages_count;azure_incomingmessages_maximum;azure_incomingmessages_minimum;azure_incomingmessages_total,Incoming Messages for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,total
azure_incomingrequests_average;azure_incomingrequests_count;azure_incomingrequests_maximum;azure_incomingrequests_minimum;azure_incomingrequests_total,Incoming Requests for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,total
azure_messages_average;azure_messages_count;azure_messages_maximum;azure_messages_minimum;azure_messages_total,Count of messages in a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_throttledrequests_average;azure_throttledrequests_count;azure_throttledrequests_maximum;azure_throttledrequests_minimum;azure_throttledrequests_total,Throttled Requests for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname;metadata_operationresult;metadata_messagingerrorsubcode,total
azure_outgoingmessages_average;azure_outgoingmessages_count;azure_outgoingmessages_maximum;azure_outgoingmessages_minimum;azure_outgoingmessages_total,Outgoing Messages for Microsoft.ServiceBus.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,total
azure_pendingcheckpointoperationcount_average;azure_pendingcheckpointoperationcount_count;azure_pendingcheckpointoperationcount_maximum;azure_pendingcheckpointoperationcount_minimum;azure_pendingcheckpointoperationcount_total,Pending Checkpoint Operations Count.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_scheduledmessages_average;azure_scheduledmessages_count;azure_scheduledmessages_maximum;azure_scheduledmessages_minimum;azure_scheduledmessages_total,Count of scheduled messages in a Queue/Topic.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_serversendlatency_average;azure_serversendlatency_count;azure_serversendlatency_maximum;azure_serversendlatency_minimum;azure_serversendlatency_total,Latency of Send Message operations for Service Bus resources.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_size_average;azure_size_count;azure_size_maximum;azure_size_minimum;azure_size_total,Size of an Queue/Topic in Bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname,average
azure_successfulrequests_average;azure_successfulrequests_count;azure_successfulrequests_maximum;azure_successfulrequests_minimum;azure_successfulrequests_total,Total successful requests for a namespace,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_entityname;metadata_operationresult,total
azure_wsxns_average;azure_wsxns_count;azure_wsxns_maximum;azure_wsxns_minimum;azure_wsxns_total,Service bus premium namespace memory usage metric. This metric is deprecated. Please use the  Memory Usage (NamespaceMemoryUsage) metric instead.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_replica,maximum
