Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_app_memory_percent_average;azure_app_memory_percent_count;azure_app_memory_percent_maximum;azure_app_memory_percent_minimum;azure_app_memory_percent_total,App memory percentage. Applies to serverless elastic pools.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_percent_average;azure_cpu_percent_count;azure_cpu_percent_maximum;azure_cpu_percent_minimum;azure_cpu_percent_total,CPU percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_workers_percent_average;azure_workers_percent_count;azure_workers_percent_maximum;azure_workers_percent_minimum;azure_workers_percent_total,Workers percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_allocated_data_storage_percent_average;azure_allocated_data_storage_percent_count;azure_allocated_data_storage_percent_maximum;azure_allocated_data_storage_percent_minimum;azure_allocated_data_storage_percent_total,Data space allocated percent. Not applicable to hyperscale,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_physical_data_read_percent_average;azure_physical_data_read_percent_count;azure_physical_data_read_percent_maximum;azure_physical_data_read_percent_minimum;azure_physical_data_read_percent_total,Data IO percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_sessions_count_average;azure_sessions_count_count;azure_sessions_count_maximum;azure_sessions_count_minimum;azure_sessions_count_total,Number of active sessions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_sqlserver_process_core_percent_average;azure_sqlserver_process_core_percent_count;azure_sqlserver_process_core_percent_maximum;azure_sqlserver_process_core_percent_minimum;azure_sqlserver_process_core_percent_total,CPU usage as a percentage of the SQL DB process. Applies to elastic pools.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_sqlserver_process_memory_percent_average;azure_sqlserver_process_memory_percent_count;azure_sqlserver_process_memory_percent_maximum;azure_sqlserver_process_memory_percent_minimum;azure_sqlserver_process_memory_percent_total,Memory usage as a percentage of the SQL DB process. Applies to elastic pools.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_storage_percent_average;azure_storage_percent_count;azure_storage_percent_maximum;azure_storage_percent_minimum;azure_storage_percent_total,Data space used percent. Not applicable to hyperscale,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_allocated_data_storage_average;azure_allocated_data_storage_count;azure_allocated_data_storage_maximum;azure_allocated_data_storage_minimum;azure_allocated_data_storage_total,Data space allocated. Not applicable to hyperscale,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_tempdb_data_size_average;azure_tempdb_data_size_count;azure_tempdb_data_size_maximum;azure_tempdb_data_size_minimum;azure_tempdb_data_size_total,Space used in tempdb data files in kilobytes.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_app_cpu_billed_average;azure_app_cpu_billed_count;azure_app_cpu_billed_maximum;azure_app_cpu_billed_minimum;azure_app_cpu_billed_total,App CPU billed. Applies to serverless elastic pools.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_app_cpu_percent_average;azure_app_cpu_percent_count;azure_app_cpu_percent_maximum;azure_app_cpu_percent_minimum;azure_app_cpu_percent_total,App CPU percentage. Applies to serverless elastic pools.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_limit_average;azure_cpu_limit_count;azure_cpu_limit_maximum;azure_cpu_limit_minimum;azure_cpu_limit_total,CPU limit. Applies to vCore-based elastic pools.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_cpu_used_average;azure_cpu_used_count;azure_cpu_used_maximum;azure_cpu_used_minimum;azure_cpu_used_total,CPU used. Applies to vCore-based elastic pools.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_dtu_consumption_percent_average;azure_dtu_consumption_percent_count;azure_dtu_consumption_percent_maximum;azure_dtu_consumption_percent_minimum;azure_dtu_consumption_percent_total,DTU Percentage. Applies to DTU-based elastic pools.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_edtu_limit_average;azure_edtu_limit_count;azure_edtu_limit_maximum;azure_edtu_limit_minimum;azure_edtu_limit_total,eDTU limit. Applies to DTU-based elastic pools.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_edtu_used_average;azure_edtu_used_count;azure_edtu_used_maximum;azure_edtu_used_minimum;azure_edtu_used_total,eDTU used. Applies to DTU-based elastic pools.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_log_write_percent_average;azure_log_write_percent_count;azure_log_write_percent_maximum;azure_log_write_percent_minimum;azure_log_write_percent_total,Log IO percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_sessions_percent_average;azure_sessions_percent_count;azure_sessions_percent_maximum;azure_sessions_percent_minimum;azure_sessions_percent_total,Sessions percentage,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_storage_limit_average;azure_storage_limit_count;azure_storage_limit_maximum;azure_storage_limit_minimum;azure_storage_limit_total,Data max size. Not applicable to hyperscale,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_storage_used_average;azure_storage_used_count;azure_storage_used_maximum;azure_storage_used_minimum;azure_storage_used_total,Data space used. Not applicable to hyperscale,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_tempdb_log_size_average;azure_tempdb_log_size_count;azure_tempdb_log_size_maximum;azure_tempdb_log_size_minimum;azure_tempdb_log_size_total,Space used in tempdb transaction log file in kilobytes.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_tempdb_log_used_percent_average;azure_tempdb_log_used_percent_count;azure_tempdb_log_used_percent_maximum;azure_tempdb_log_used_percent_minimum;azure_tempdb_log_used_percent_total,Space used percentage in tempdb transaction log file,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_xtp_storage_percent_average;azure_xtp_storage_percent_count;azure_xtp_storage_percent_maximum;azure_xtp_storage_percent_minimum;azure_xtp_storage_percent_total,In-Memory OLTP storage percent. Not applicable to hyperscale,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
