Name,Description,Unit,DataType
arangodb_agency_cache_callback_number,"Current number of entries in agency cache callbacks table",,Gauge
arangodb_agency_callback_number,"Current number of agency callbacks registered",,Gauge
arangodb_agency_callback_registered_total,"Total number of agency callbacks registered",,Sum
arangodb_agencycomm_request_time_msec,"Request time for Agency requests [ms]",,Histogram
arangodb_aql_all_query_total,"Total number of AQL queries finished",,Sum
arangodb_aql_current_query,"Current number of AQL queries executing",,Gauge
arangodb_aql_global_memory_limit,"Total memory limit for all AQL queries combined [bytes]",,Gauge
arangodb_aql_global_memory_usage,"Total memory usage of all AQL queries executing [bytes], granularity",,Gauge
arangodb_aql_global_query_memory_limit_reached_total,"Number of global AQL query memory limit violations",,Sum
arangodb_aql_local_query_memory_limit_reached_total,"Number of local AQL query memory limit violations",,Sum
arangodb_aql_query_time,"Execution time histogram for all AQL queries [s]",,Histogram
arangodb_aql_slow_query_time,"Execution time histogram for slow AQL queries [s]",,Histogram
arangodb_aql_total_query_time_msec_total,"Total execution time of all AQL queries [ms]",,Sum
arangodb_client_connection_statistics_bytes_received,"Bytes received for requests",,Histogram
arangodb_client_connection_statistics_bytes_sent,"Bytes sent for responses",,Histogram
arangodb_client_connection_statistics_client_connections,"The number of client connections that are currently open",,Gauge
arangodb_client_connection_statistics_connection_time,"Total connection time of a client",,Histogram
arangodb_client_connection_statistics_io_time,"Request time needed to answer a request",,Histogram
arangodb_client_connection_statistics_queue_time,"Request time needed to answer a request",,Histogram
arangodb_client_connection_statistics_request_time,"Request time needed to answer a request",,Histogram
arangodb_client_connection_statistics_total_time,"Total time needed to answer a request",,Histogram
arangodb_client_user_connection_statistics_bytes_received,"Bytes received for requests, only user traffic",,Histogram
arangodb_client_user_connection_statistics_bytes_sent,"Bytes sent for responses, only user traffic",,Histogram
arangodb_collection_lock_acquisition_micros_total,"Total amount of collection lock acquisition time [μs]",,Sum
arangodb_collection_lock_acquisition_time,"Collection lock acquisition time histogram [s]",,Histogram
arangodb_collection_lock_sequential_mode_total,"Number of transactions using sequential locking of collections to avoid deadlocking",,Sum
arangodb_collection_lock_timeouts_exclusive_total,"Number of timeouts when trying to acquire collection exclusive locks",,Sum
arangodb_collection_lock_timeouts_write_total,"Number of timeouts when trying to acquire collection write locks",,Sum
arangodb_connection_pool_connections_created_total,"Total number of connections created",,Sum
arangodb_connection_pool_connections_current,"Current number of connections in pool",,Gauge
arangodb_connection_pool_lease_time_hist,"Time to lease a connection from pool [ms]",,Histogram
arangodb_connection_pool_leases_failed_total,"Total number of failed connection leases",,Sum
arangodb_connection_pool_leases_successful_total,"Total number of successful connection leases",,Sum
arangodb_dirty_read_transactions_total,"Number of read transactions which can do dirty reads",,Sum
arangodb_file_descriptors_current,"Number of currently open file descriptors for the arangod process",,Gauge
arangodb_file_descriptors_limit,"Limit for the number of open file descriptors for the arangod process",,Gauge
arangodb_flush_subscriptions,"Number of active flush subscriptions",,Gauge
arangodb_heartbeat_failures_total,"Counting failed heartbeat transmissions",,Sum
arangodb_heartbeat_send_time_msec,"Time required to send heartbeat [ms]",,Histogram
arangodb_http1_connections_total,"Total number of HTTP/1.1 connections",,Sum
arangodb_http2_connections_total,"Total number of HTTP/2 connections",,Sum
arangodb_http_request_statistics_async_requests_total,"Number of asynchronously executed HTTP requests",,Sum
arangodb_http_request_statistics_http_delete_requests_total,"Number of HTTP DELETE requests",,Sum
arangodb_http_request_statistics_http_get_requests_total,"Number of HTTP GET requests",,Sum
arangodb_http_request_statistics_http_head_requests_total,"Number of HTTP HEAD requests",,Sum
arangodb_http_request_statistics_http_options_requests_total,"Number of HTTP OPTIONS requests",,Sum
arangodb_http_request_statistics_http_patch_requests_total,"Number of HTTP PATCH requests",,Sum
arangodb_http_request_statistics_http_post_requests_total,"Number of HTTP POST requests",,Sum
arangodb_http_request_statistics_http_put_requests_total,"Number of HTTP PUT requests",,Sum
arangodb_http_request_statistics_other_http_requests_total,"Number of other HTTP requests",,Sum
arangodb_http_request_statistics_superuser_requests_total,"Total number of HTTP requests executed by superuser/JWT",,Sum
arangodb_http_request_statistics_total_requests_total,"Total number of HTTP requests",,Sum
arangodb_http_request_statistics_user_requests_total,"Total number of HTTP requests executed by clients",,Sum
