Name,Description,Unit,DataType,Attributes
gitea_accesses,Number of Accesses,Count,gauge,
gitea_attachments,Number of Attachments,Count,gauge,
gitea_build_info,Build information,,gauge,"goarch=amd64,goos=linux,goversion=go1.20.6,version=1.20.2"
gitea_comments,Number of Comments,Count,gauge,
gitea_follows,Number of Follows,Count,gauge,
gitea_hooktasks,Number of HookTasks,Count,gauge,
gitea_issues,Number of Issues,Count,gauge,
gitea_issues_closed,Number of closed Issues,Count,gauge,
gitea_issues_open,Number of open Issues,Count,gauge,
gitea_labels,Number of Labels,Count,gauge,
gitea_loginsources,Number of LoginSources,Count,gauge,
gitea_milestones,Number of Milestones,Count,gauge,
gitea_mirrors,Number of Mirrors,Count,gauge,
gitea_oauths,Number of Oauths,Count,gauge,
gitea_organizations,Number of Organizations,Count,gauge,
gitea_projects,Number of projects,Count,gauge,
gitea_projects_boards,Number of project boards,Count,gauge,
gitea_publickeys,Number of PublicKeys,Count,gauge,
gitea_releases,Number of Releases,Count,gauge,
gitea_repositories,Number of Repositories,Count,gauge,
gitea_stars,Number of Stars,Count,gauge,
gitea_teams,Number of Teams,Count,gauge,
gitea_updatetasks,Number of UpdateTasks,Count,gauge,
gitea_users,Number of Users,Count,gauge,
gitea_watches,Number of Watches,Count,gauge,
gitea_webhooks,Number of Webhooks,Count,gauge,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles,Seconds,summary,"quantiles: 0, 0.25, 0.5, 0.75, 1"
go_goroutines,Number of goroutines that currently exist.,Count,gauge,
go_info,Information about the Go environment,,gauge,version=go1.20.6
go_memstats_alloc_bytes,Number of bytes allocated and still in use,Bytes,gauge,
go_memstats_alloc_bytes_total,Total number of bytes allocated, even if freed,Bytes,counter
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table,Bytes,gauge,
go_memstats_frees_total,Total number of frees,Count,counter,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata,Bytes,gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use,Bytes,gauge,
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used,Bytes,gauge,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use,Bytes,gauge,
go_memstats_heap_objects,Number of allocated objects,Count,gauge,
go_memstats_heap_released_bytes,Number of heap bytes released to OS,Bytes,gauge,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system,Bytes,gauge,
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection,Seconds,gauge,
go_memstats_lookups_total,Total number of pointer lookups,Count,counter,
go_memstats_mallocs_total,Total number of mallocs,Count,counter,
go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures,Bytes,gauge,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system,Bytes,gauge,
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures,Bytes,gauge,
go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system,Bytes,gauge,
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place,Bytes,gauge,
go_memstats_other_sys_bytes,Number of bytes used for other system allocations,Bytes,gauge,
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator,Bytes,gauge,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator,Bytes,gauge,
go_memstats_sys_bytes,Number of bytes obtained from system,Bytes,gauge,
go_threads,Number of OS threads created,Count,gauge,
process_cpu_seconds_total,Total user and system CPU time spent,Seconds,counter,
process_max_fds,Maximum number of open file descriptors,Count,gauge,
process_open_fds,Number of open file descriptors,Count,gauge,
process_resident_memory_bytes,Resident memory size,Bytes,gauge,
process_start_time_seconds,Start time of the process since unix epoch,Seconds,gauge,
process_virtual_memory_bytes,Virtual memory size,Bytes,gauge,
process_virtual_memory_max_bytes,Maximum amount of virtual memory available,Bytes,gauge,
promhttp_metric_handler_requests_in_flight,Current number of scrapes being served,Count,gauge,
promhttp_metric_handler_requests_total,Total number of scrapes by HTTP status code,Count,counter,"code: 200, 500, 503"
