Name,Description,Unit,DataType,Attributes
gnatsd_varz_auth_timeout,auth_timeout,,gauge,
gnatsd_varz_cluster_name,cluster_name,,gauge,
gnatsd_varz_connections,connections,,gauge,
gnatsd_varz_cores,cores,,gauge,
gnatsd_varz_cpu,cpu,,gauge,
gnatsd_varz_gomaxprocs,gomaxprocs,,gauge,
gnatsd_varz_http_port,http_port,,gauge,
gnatsd_varz_http_req_stats_varz,http_req_stats_varz,,gauge,
gnatsd_varz_https_port,https_port,,gauge,
gnatsd_varz_in_bytes,in_bytes,,gauge,
gnatsd_varz_in_msgs,in_msgs,,gauge,
gnatsd_varz_jetstream_config_max_memory,jetstream_config_max_memory,,gauge,
gnatsd_varz_jetstream_config_max_storage,jetstream_config_max_storage,,gauge,
gnatsd_varz_jetstream_meta_cluster_size,jetstream_meta_cluster_size,,gauge,
gnatsd_varz_jetstream_meta_name,jetstream_meta_name,,gauge,
gnatsd_varz_jetstream_stats_accounts,jetstream_stats_accounts,,gauge,
gnatsd_varz_jetstream_stats_api_errors,jetstream_stats_api_errors,,gauge,
gnatsd_varz_jetstream_stats_api_total,jetstream_stats_api_total,,gauge,
gnatsd_varz_jetstream_stats_ha_assets,jetstream_stats_ha_assets,,gauge,
gnatsd_varz_jetstream_stats_memory,jetstream_stats_memory,,gauge,
gnatsd_varz_jetstream_stats_reserved_memory,jetstream_stats_reserved_memory,,gauge,
gnatsd_varz_jetstream_stats_reserved_storage,jetstream_stats_reserved_storage,,gauge,
gnatsd_varz_jetstream_stats_storage,jetstream_stats_storage,,gauge,
gnatsd_varz_leafnodes,leafnodes,,gauge,
gnatsd_varz_max_connections,max_connections,,gauge,
gnatsd_varz_max_control_line,max_control_line,,gauge,
gnatsd_varz_max_payload,max_payload,,gauge,
gnatsd_varz_max_pending,max_pending,,gauge,
gnatsd_varz_mem,mem,,gauge,
gnatsd_varz_out_bytes,out_bytes,,gauge,
gnatsd_varz_out_msgs,out_msgs,,gauge,
gnatsd_varz_ping_interval,ping_interval,,gauge,
gnatsd_varz_ping_max,ping_max,,gauge,
gnatsd_varz_port,port,,gauge,
gnatsd_varz_proto,proto,,gauge,
gnatsd_varz_remotes,remotes,,gauge,
gnatsd_varz_routes,routes,,gauge,
gnatsd_varz_server_id,server_id,,gauge,
gnatsd_varz_server_name,server_name,,gauge,
gnatsd_varz_slow_consumers,slow_consumers,,gauge,
gnatsd_varz_subscriptions,subscriptions,,gauge,
gnatsd_varz_tls_timeout,tls_timeout,,gauge,
gnatsd_varz_total_connections,total_connections,,gauge,
gnatsd_varz_version,version,,gauge,
gnatsd_varz_write_deadline,write_deadline,,gauge,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,seconds,summary,
go_goroutines,Number of goroutines that currently exist.,,gauge,
go_info,Information about the Go environment.,,gauge,
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,bytes,gauge,
go_memstats_alloc_bytes_total,Total number of bytes allocated even if freed.,,bytes,counter
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.,bytes,gauge,
go_memstats_frees_total,Total number of frees.,,counter,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.,bytes,gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,bytes,gauge,
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,bytes,gauge,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,bytes,gauge,
go_memstats_heap_objects,Number of allocated objects.,,gauge,
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,bytes,gauge,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.,bytes,gauge,
go_memstats_last_gc_time_seconds,Number of seconds since 1970 of last garbage collection.,seconds,gauge,
go_memstats_lookups_total,Total number of pointer lookups.,,counter,
go_memstats_mallocs_total,Total number of mallocs.,,counter,
go_memstats_mcache_inuse_bytes,Number of bytes in use by mcache structures.,bytes,gauge,
go_memstats_mcache_sys_bytes,Number of bytes used for mcache structures obtained from system.,bytes,gauge,
go_memstats_mspan_inuse_bytes,Number of bytes in use by mspan structures.,bytes,gauge,
go_memstats_mspan_sys_bytes,Number of bytes used for mspan structures obtained from system.,bytes,gauge,
go_memstats_next_gc_bytes,Number of heap bytes when next garbage collection will take place.,bytes,gauge,
go_memstats_other_sys_bytes,Number of bytes used for other system allocations.,bytes,gauge,
go_memstats_stack_inuse_bytes,Number of bytes in use by the stack allocator.,bytes,gauge,
go_memstats_stack_sys_bytes,Number of bytes obtained from system for stack allocator.,bytes,gauge,
go_memstats_sys_bytes,Number of bytes obtained from system.,bytes,gauge,
go_threads,Number of OS threads created.,,gauge,
jetstream_server_jetstream_disabled,JetStream disabled or not,,gauge,
jetstream_server_max_memory,JetStream Max Memory,,gauge,
jetstream_server_max_storage,JetStream Max Storage,,gauge,
jetstream_server_total_consumers,Total number of consumers in JetStream,,gauge,
