Name,Description,Unit,DataType,Attributes
go_gc_cycles_automatic_gc_cycles_total,Count of completed GC cycles generated by the Go runtime.,,counter,
go_gc_cycles_forced_gc_cycles_total,Count of completed GC cycles forced by the application.,,counter,
go_gc_cycles_total_gc_cycles_total,Count of all completed GC cycles.,,counter,
go_gc_duration_seconds,A summary of the pause duration of garbage collection cycles.,seconds,summary,
go_gc_heap_allocs_by_size_bytes_total,"Distribution of heap allocations by approximate size. Note that this does not include tiny objects as defined by /gc/heap/tiny/allocs:objects, only tiny blocks.",bytes,histogram,
go_gc_heap_allocs_bytes_total,Cumulative sum of memory allocated to the heap by the application.,bytes,counter,
go_gc_heap_allocs_objects_total,"Cumulative count of heap allocations triggered by the application. Note that this does not include tiny objects as defined by /gc/heap/tiny/allocs:objects, only tiny blocks.",,counter,
go_gc_heap_frees_by_size_bytes_total,"Distribution of freed heap allocations by approximate size. Note that this does not include tiny objects as defined by /gc/heap/tiny/allocs:objects, only tiny blocks.",bytes,histogram,
go_gc_heap_frees_bytes_total,Cumulative sum of heap memory freed by the garbage collector.,bytes,counter,
go_gc_heap_frees_objects_total,"Cumulative count of heap allocations whose storage was freed by the garbage collector. Note that this does not include tiny objects as defined by /gc/heap/tiny/allocs:objects, only tiny blocks.",,counter,
go_gc_heap_goal_bytes,Heap size target for the end of the GC cycle.,bytes,gauge,
go_gc_heap_objects_objects,"Number of objects, live or unswept, occupying heap memory.",,gauge,
go_gc_heap_tiny_allocs_objects_total,"Count of small allocations that are packed together into blocks. These allocations are counted separately from other allocations because each individual allocation is not tracked by the runtime, only their block. Each block is already accounted for in allocs-by-size and frees-by-size.",,counter,
go_gc_pauses_seconds_total,Distribution individual GC-related stop-the-world pause latencies.,seconds,histogram,
go_goroutines,Number of goroutines that currently exist.,,gauge,
go_info,Information about the Go environment.,,gauge,
go_memory_classes_heap_free_bytes,"Memory that is completely free and eligible to be returned to the underlying system, but has not been. This metric is the runtime's estimate of free address space that is backed by physical memory.",bytes,gauge,
go_memory_classes_heap_objects_bytes,Memory occupied by live objects and dead objects that have not yet been marked free by the garbage collector.,bytes,gauge,
go_memory_classes_heap_released_bytes,"Memory that is completely free and has been returned to the underlying system. This metric is the runtime's estimate of free address space that is still mapped into the process, but is not backed by physical memory.",bytes,gauge,
go_memory_classes_heap_stacks_bytes,"Memory allocated from the heap that is reserved for stack space, whether or not it is currently in-use.",bytes,gauge,
go_memory_classes_heap_unused_bytes,Memory that is reserved for heap objects but is not currently used to hold heap objects.,bytes,gauge,
go_memory_classes_metadata_mcache_free_bytes,"Memory that is reserved for runtime mcache structures, but not in-use.",bytes,gauge,
go_memory_classes_metadata_mcache_inuse_bytes,Memory that is occupied by runtime mcache structures that are currently being used.,bytes,gauge,
go_memory_classes_metadata_mspan_free_bytes,"Memory that is reserved for runtime mspan structures, but not in-use.",bytes,gauge,
go_memory_classes_metadata_mspan_inuse_bytes,Memory that is occupied by runtime mspan structures that are currently being used.,bytes,gauge,
go_memory_classes_metadata_other_bytes,Memory that is reserved for or used to hold runtime metadata.,bytes,gauge,
go_memory_classes_os_stacks_bytes,Stack memory allocated by the underlying operating system.,bytes,gauge,
go_memory_classes_other_bytes,"Memory used by execution trace buffers, structures for debugging the runtime, finalizer and profiler specials, and more.",bytes,gauge,
go_memory_classes_profiling_buckets_bytes,Memory that is used by the stack trace hash map used for profiling.,bytes,gauge,
go_memory_classes_total_bytes,All memory mapped by the Go runtime into the current process as read-write. Note that this does not include memory mapped by code called via cgo or via the syscall package. Sum of all metrics in /memory/classes.,bytes,gauge,
go_memstats_alloc_bytes,Number of bytes allocated and still in use.,bytes,gauge,
go_memstats_alloc_bytes_total,"Total number of bytes allocated, even if freed.",bytes,counter,
go_memstats_buck_hash_sys_bytes,Number of bytes used by the profiling bucket hash table.,bytes,gauge,
go_memstats_frees_total,Total number of frees.,,counter,
go_memstats_gc_cpu_fraction,The fraction of this program's available CPU time used by the GC since the program started.,,gauge,
go_memstats_gc_sys_bytes,Number of bytes used for garbage collection system metadata.,bytes,gauge,
go_memstats_heap_alloc_bytes,Number of heap bytes allocated and still in use.,bytes,gauge,
go_memstats_heap_idle_bytes,Number of heap bytes waiting to be used.,bytes,gauge,
go_memstats_heap_inuse_bytes,Number of heap bytes that are in use.,bytes,gauge,
go_memstats_heap_objects,Number of allocated objects.,,gauge,
go_memstats_heap_released_bytes,Number of heap bytes released to OS.,bytes,gauge,
go_memstats_heap_sys_bytes,Number of heap bytes obtained from system.,bytes,gauge,
