Name,Description,Unit,DataType,Attributes
scylla_cdc_operations_with_preimage_failed,number of failed operations that included preimage,,Sum
scrape_duration_seconds,"Duration of the scrape",seconds,Gauge
scrape_samples_post_metric_relabeling,"The number of samples remaining after metric relabeling was applied",,Gauge
scrape_samples_scraped,"The number of samples the target exposed",,Gauge
scrape_series_added,"The approximate number of new series in this scrape",,Gauge
scylla_alien_receive_batch_queue_length,"Current receive batch queue length",,Gauge
scylla_alien_total_received_messages,"Total number of received messages",,Sum
scylla_alien_total_sent_messages,"Total number of sent messages",,Sum
scylla_batchlog_manager_total_write_replay_attempts,"Counts write operations issued in a batchlog replay flow. The high value of this metric indicates that we have a long batch replay list.",,Sum
scylla_cache_active_reads,"number of currently active reads",,Gauge
scylla_cache_bytes_total,"total size of memory for the cache",,Gauge
scylla_cache_bytes_used,"current bytes used by the cache out of the total size of memory",,Gauge
scylla_cache_concurrent_misses_same_key,"total number of operation with misses same key",,Sum
scylla_cache_dummy_row_hits,"total number of dummy rows touched by reads in cache",,Sum
scylla_cache_mispopulations,"number of entries not inserted by reads",,Sum
scylla_cache_partition_evictions,"total number of evicted partitions",,Sum
scylla_cache_partition_hits,"number of partitions needed by reads and found in cache",,Sum
scylla_cache_partition_insertions,"total number of partitions added to cache",,Sum
scylla_cache_partition_merges,"total number of partitions merged",,Sum
scylla_cache_partition_misses,"number of partitions needed by reads and missing in cache",,Sum
scylla_cache_partition_removals,"total number of invalidated partitions",,Sum
scylla_cache_partitions,"total number of cached partitions",,Gauge
scylla_cache_pinned_dirty_memory_overload,"amount of pinned bytes that we tried to unpin over the limit. This should sit constantly at 0, and any number different than 0 is indicative of a bug",,Sum
scylla_cache_range_tombstone_reads,"total amount of range tombstones processed during read",,Sum
scylla_cache_reads,"number of started reads",,Sum
scylla_cache_reads_with_misses,"number of reads which had to read from sstables",,Sum
scylla_cache_row_evictions,"total number of rows evicted from cache",,Sum
scylla_cache_row_hits,"total number of rows needed by reads and found in cache",,Sum
scylla_cache_row_insertions,"total number of rows added to cache",,Sum
scylla_cache_row_misses,"total number of rows needed by reads and missing in cache",,Sum
scylla_cache_row_removals,"total number of invalidated rows",,Sum
scylla_cache_row_tombstone_reads,"total amount of row tombstones processed during read",,Sum
scylla_cache_rows,"total number of cached rows",,Gauge
scylla_cache_rows_compacted_with_tombstones,"Number of rows scanned during write of a tombstone for the purpose of compaction in cache",,Sum
scylla_cache_rows_dropped_by_tombstones,"Number of rows dropped in cache by a tombstone write",,Sum
scylla_cache_rows_dropped_from_memtable,"total number of rows in memtables which were dropped during cache update on memtable flush",,Sum
scylla_cache_rows_merged_from_memtable,"total number of rows in memtables which were merged with existing rows during cache update on memtable flush",,Sum
scylla_cache_rows_processed_from_memtable,"total number of rows in memtables which were processed during cache update on memtable flush",,Sum
scylla_cache_sstable_partition_skips,"number of times sstable reader was fast forwarded across partitions",,Sum
scylla_cache_sstable_reader_recreations,"number of times sstable reader was recreated due to memtable flush",,Sum
scylla_cache_sstable_row_skips,"number of times sstable reader was fast forwarded within a partition",,Sum
scylla_cache_static_row_insertions,"total number of static rows added to cache",,Sum
