Name,Description,Unit,DataType,Attributes
br_raw_backup_region_seconds,Backup region latency distributions.,,histogram,"instance,job,le"
etcd_cluster_version,Which version is running. 1 for 'cluster_version' label with current cluster version,,gauge,"cluster_version,instance,job"
etcd_debugging_auth_revision,The current revision of auth store.,,gauge,"instance,job"
etcd_debugging_disk_backend_commit_rebalance_duration_seconds,The latency distributions of commit.rebalance called by bboltdb backend.,,histogram,"instance,job,le"
etcd_debugging_disk_backend_commit_spill_duration_seconds,The latency distributions of commit.spill called by bboltdb backend.,,histogram,"instance,job,le"
etcd_debugging_disk_backend_commit_write_duration_seconds,The latency distributions of commit.write called by bboltdb backend.,,histogram,"instance,job,le"
etcd_debugging_lease_granted,The total number of granted leases.,,counter,"instance,job"
etcd_debugging_lease_renewed,The number of renewed leases seen by the leader.,,counter,"instance,job"
etcd_debugging_lease_revoked,The total number of revoked leases.,,counter,"instance,job"
etcd_debugging_lease_ttl_total,Bucketed histogram of lease TTLs.,,histogram,"instance,job,le"
etcd_debugging_mvcc_compact_revision,The revision of the last compaction in store.,,gauge,"instance,job"
etcd_debugging_mvcc_current_revision,The current revision of store.,,gauge,"instance,job"
etcd_debugging_mvcc_db_compaction_keys,Total number of db keys compacted.,,counter,"instance,job"
etcd_debugging_mvcc_db_compaction_pause_duration_milliseconds,Bucketed histogram of db compaction pause duration.,,histogram,"instance,job,le"
etcd_debugging_mvcc_db_compaction_total_duration_milliseconds,Bucketed histogram of db compaction total duration.,,histogram,"instance,job,le"
etcd_debugging_mvcc_db_total_size_in_bytes,Total size of the underlying database physically allocated in bytes.,,gauge,"instance,job"
etcd_debugging_mvcc_delete,Total number of deletes seen by this member.,,counter,"instance,job"
etcd_debugging_mvcc_events,Total number of events sent by this member.,,counter,"instance,job"
etcd_debugging_mvcc_index_compaction_pause_duration_milliseconds,Bucketed histogram of index compaction pause duration.,,histogram,"instance,job,le"
etcd_debugging_mvcc_keys_total,Total number of keys.,,gauge,"instance,job"
etcd_debugging_mvcc_pending_events_total,Total number of pending events to be sent.,,gauge,"instance,job"
etcd_debugging_mvcc_put,Total number of puts seen by this member.,,counter,"instance,job"
etcd_debugging_mvcc_range,Total number of ranges seen by this member.,,counter,"instance,job"
etcd_debugging_mvcc_slow_watcher_total,Total number of unsynced slow watchers.,,gauge,"instance,job"
etcd_debugging_mvcc_total_put_size_in_bytes,The total size of put kv pairs seen by this member.,,gauge,"instance,job"
etcd_debugging_mvcc_txn,Total number of txns seen by this member.,,counter,"instance,job"
etcd_debugging_mvcc_watch_stream_total,Total number of watch streams.,,gauge,"instance,job"
etcd_debugging_mvcc_watcher_total,Total number of watchers.,,gauge,"instance,job"
etcd_debugging_server_lease_expired,The total number of expired leases.,,counter,"instance,job"
etcd_debugging_snap_save_marshalling_duration_seconds,The marshalling cost distributions of save called by snapshot.,,histogram,"instance,job,le"
etcd_debugging_snap_save_total_duration_seconds,The total latency distributions of save called by snapshot.,,histogram,"instance,job,le"
etcd_debugging_store_expires,Total number of expired keys.,,counter,"instance,job"
etcd_debugging_store_reads,"Total number of reads action by (get/getRecursive), local to this member.",,counter,"action,instance,job"
etcd_debugging_store_watch_requests,Total number of incoming watch requests (new or reestablished).,,counter,"instance,job"
etcd_debugging_store_watchers,Count of currently active watchers.,,gauge,"instance,job"
etcd_debugging_store_writes,Total number of writes (e.g. set/compareAndDelete) seen by this member.,,counter,"action,instance,job"
etcd_disk_backend_commit_duration_seconds,The latency distributions of commit called by backend.,,histogram,"instance,job,le"
etcd_disk_backend_defrag_duration_seconds,The latency distribution of backend defragmentation.,,histogram,"instance,job,le"
etcd_disk_backend_snapshot_duration_seconds,The latency distribution of backend snapshots.,,histogram,"instance,job,le"
